year,PENNSYLVANIA WHITE
1994,4666
1996,5328
1998,107
2000,5269
2002,5234
2004,5853
2006,5489
2008,5783
2010,5426
2012,5951
2014,5452
2016,5916
2018,5628
2020,6390
