index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
72,HAWAII TOTAL,391,361,411,340,363,433,388,457,385,480,399,460,427,630
73,MALE,185,168,202,154,174,196,178,223,182,225,197,215,193,313
74,FEMALE,206,194,210,186,190,237,209,235,203,255,202,245,234,317
75,WHITE,156,111,13,106,107,130,97,136,84,153,95,129,111,175
76,BLACK,1,7,98,2,4,6,3,2,10,12,7,15,4,11
77,HISPANIC ORIGIN,3,10,5,10,6,19,22,15,27,25,21,36,25,30
78,IDAHO TOTAL,405,502,396,500,425,585,523,644,498,679,462,714,587,843
79,MALE,198,241,189,232,202,273,249,313,235,323,213,346,286,410
80,FEMALE,207,261,207,268,222,311,274,331,263,357,248,368,301,433
81,WHITE,399,493,7,496,419,571,515,621,483,661,452,687,555,806
82,BLACK,0,,392,,1,,,8,4,,,2,6,4
83,HISPANIC ORIGIN,8,6,1,7,8,14,9,30,9,27,17,49,30,55
84,ILLINOIS TOTAL,3685,4779,3857,5030,4014,5672,3968,5436,3994,5428,3734,5719,4740,6058
85,MALE,1747,2276,1821,2310,1921,2640,1805,2521,1872,2517,1730,2673,2183,2876
86,FEMALE,1938,2503,2036,2720,2092,3032,2162,2914,2122,2911,2004,3046,2557,3182
87,WHITE,3068,3914,156,4043,3366,4708,3262,4520,3225,4275,3070,4636,3802,4849
88,BLACK,581,818,3162,897,590,855,602,784,658,918,535,776,723,811
89,HISPANIC ORIGIN,125,127,650,218,171,294,185,314,241,295,218,527,354,475
90,INDIANA TOTAL,1620,2367,1751,2564,1856,2598,2053,2758,1826,2801,1646,2795,2364,3002
91,MALE,781,1131,811,1217,882,1247,1024,1290,892,1331,795,1343,1115,1408
92,FEMALE,839,1236,940,1347,974,1351,1028,1468,934,1470,850,1452,1249,1594
93,WHITE,1532,2221,9,2389,1716,2364,1901,2516,1646,2509,1498,2467,2066,2601
94,BLACK,76,136,1605,148,137,198,140,219,158,263,143,228,221,281
95,HISPANIC ORIGIN,10,22,138,21,14,41,24,36,19,49,35,63,77,60
96,IOWA TOTAL,1080,1291,1084,1353,1053,1522,1180,1501,1143,1548,1203,1454,1335,1618
97,MALE,502,623,510,650,494,708,545,699,544,733,569,673,660,785
98,FEMALE,579,668,574,703,560,814,635,801,599,816,634,781,675,833
99,WHITE,1061,1265,0,1320,1028,1473,1149,1422,1106,1482,1154,1393,1270,1521
100,BLACK,15,20,1068,34,16,23,14,42,17,33,20,34,41,40
101,HISPANIC ORIGIN,7,6,4,19,12,12,4,20,10,30,11,23,69,40
102,KANSAS TOTAL,912,1129,749,1148,944,1188,901,1219,931,1249,962,1243,1152,1297
103,MALE,447,534,360,528,448,554,418,552,457,567,453,570,554,621
104,FEMALE,465,596,389,620,496,633,483,667,474,682,509,673,598,676
105,WHITE,879,1051,8,1073,879,1101,855,1105,863,1148,873,1149,1028,1181
106,BLACK,25,53,733,63,46,53,36,62,34,54,53,54,58,59
107,HISPANIC ORIGIN,19,9,12,7,25,28,19,39,20,33,44,68,55,96
108,KENTUCKY TOTAL,972,1535,1311,1645,1367,1930,1508,1952,1479,1895,1525,1850,1746,2210
109,MALE,515,686,652,760,693,884,743,892,704,843,754,861,789,1057
110,FEMALE,457,848,659,886,674,1046,765,1060,775,1052,770,989,958,1153
111,WHITE,916,1419,0,1515,1285,1765,1413,1794,1383,1733,1367,1669,1587,1997
112,BLACK,43,107,1255,121,76,140,86,128,76,125,117,159,131,140
113,HISPANIC ORIGIN,6,3,51,17,5,16,11,13,2,13,23,38,12,26
114,LOUISIANA TOTAL,1031,1915,1193,2030,1527,2067,1201,2149,1618,2148,1677,2067,1656,2041
115,MALE,481,866,592,903,668,963,551,984,766,931,768,925,774,959
116,FEMALE,551,1049,601,1127,858,1104,650,1165,852,1217,908,1142,882,1082
117,WHITE,745,1355,14,1456,1080,1446,865,1490,1101,1421,1094,1368,1075,1362
118,BLACK,281,553,738,564,434,606,319,625,480,692,533,646,531,607
119,HISPANIC ORIGIN,15,13,450,22,38,16,31,32,16,48,31,82,35,72
120,MAINE TOTAL,530,626,450,677,594,736,595,716,604,700,642,754,693,766
