index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
70,BLACK,775,1015,2332,1296,1095,1083,1081,1414,1260,1491,1339,1552,1577,1721
71,HISPANIC ORIGIN,20,22,1118,26,56,36,57,150,77,140,99,168,135,192
72,HAWAII TOTAL,438,463,463,402,425,497,492,522,466,547,490,530,523,673
73,MALE,202,220,222,183,205,228,231,250,226,256,243,249,237,333
74,FEMALE,237,243,240,219,221,269,261,272,240,292,247,281,287,340
75,WHITE,175,153,13,121,127,148,134,149,99,170,117,144,137,184
76,BLACK,3,8,117,7,4,7,7,2,10,12,8,16,10,15
77,HISPANIC ORIGIN,5,14,6,13,7,23,25,17,39,33,31,43,34,35
78,IDAHO TOTAL,504,571,528,569,567,663,660,723,666,745,671,790,743,900
79,MALE,245,273,259,265,274,317,318,352,325,354,312,386,362,434
80,FEMALE,259,298,269,304,293,345,342,371,341,390,359,404,381,466
81,WHITE,495,560,8,561,560,644,643,697,645,726,648,757,708,857
82,BLACK,1,,521,,2,,,8,4,,1,3,8,5
83,HISPANIC ORIGIN,10,9,1,10,14,19,16,37,17,35,23,55,51,63
84,ILLINOIS TOTAL,5434,5819,5530,5911,5781,6437,5779,6151,5823,6425,5716,6665,6068,6590
85,MALE,2514,2738,2598,2726,2690,3049,2635,2900,2670,3010,2574,3174,2794,3098
86,FEMALE,2921,3082,2932,3185,3091,3388,3144,3252,3152,3415,3142,3490,3274,3492
87,WHITE,4473,4780,229,4810,4864,5376,4800,5160,4794,5150,4673,5391,4892,5303
88,BLACK,900,972,4623,998,799,919,822,826,844,987,768,932,861,861
89,HISPANIC ORIGIN,186,152,828,262,299,343,316,385,388,415,410,634,537,532
90,INDIANA TOTAL,2329,2904,2702,3000,2829,3031,2946,3105,2838,3270,3048,3298,3131,3412
91,MALE,1118,1391,1272,1424,1329,1473,1442,1465,1315,1542,1426,1595,1522,1632
92,FEMALE,1211,1513,1429,1576,1501,1558,1504,1640,1523,1727,1622,1704,1609,1781
93,WHITE,2198,2700,34,2807,2634,2755,2716,2851,2544,2926,2788,2895,2723,2967
94,BLACK,112,185,2500,168,184,229,209,228,254,309,226,284,299,306
95,HISPANIC ORIGIN,25,38,187,29,30,57,59,45,33,71,78,69,96,72
96,IOWA TOTAL,1475,1543,1562,1524,1495,1674,1663,1630,1547,1745,1584,1657,1658,1742
97,MALE,693,730,737,733,685,788,790,765,729,838,755,780,833,853
98,FEMALE,783,813,825,790,810,886,873,865,818,906,829,877,825,888
99,WHITE,1441,1497,9,1482,1452,1620,1620,1550,1494,1673,1515,1587,1580,1630
100,BLACK,23,23,1520,42,30,24,20,42,29,35,31,39,47,55
101,HISPANIC ORIGIN,13,12,14,22,16,13,16,21,15,32,21,29,85,42
102,KANSAS TOTAL,1180,1257,1191,1293,1298,1338,1274,1343,1349,1467,1353,1438,1449,1398
103,MALE,556,591,562,600,608,633,604,617,658,671,635,671,692,667
104,FEMALE,624,666,629,693,690,704,670,726,691,796,718,767,757,731
105,WHITE,1119,1163,19,1206,1205,1224,1194,1213,1245,1342,1220,1307,1311,1263
106,BLACK,44,63,1150,72,62,64,55,68,52,64,73,75,65,69
107,HISPANIC ORIGIN,27,9,34,8,45,30,32,43,45,54,70,76,71,108
108,KENTUCKY TOTAL,1756,2017,1921,2087,2017,2231,2240,2259,2113,2303,2298,2253,2389,2450
109,MALE,841,910,937,963,968,1039,1050,1044,956,1041,1091,1035,1092,1159
110,FEMALE,916,1108,984,1125,1049,1192,1190,1215,1157,1262,1207,1218,1297,1291
111,WHITE,1648,1862,5,1930,1889,2041,2087,2074,1974,2091,2059,2038,2194,2194
112,BLACK,91,147,1831,141,116,158,127,136,118,162,184,187,164,167
113,HISPANIC ORIGIN,9,3,78,19,7,18,14,13,8,20,34,44,15,30
114,LOUISIANA TOTAL,2126,2275,2261,2369,2276,2413,2179,2393,2425,2498,2398,2446,2263,2286
115,MALE,1002,1041,1097,1049,989,1132,982,1101,1111,1102,1108,1119,1032,1073
116,FEMALE,1124,1234,1165,1320,1287,1281,1198,1292,1314,1396,1290,1327,1231,1214
117,WHITE,1521,1613,41,1700,1571,1697,1549,1647,1624,1681,1596,1631,1501,1486
118,BLACK,597,653,1554,656,680,693,592,712,743,768,729,755,688,720
119,HISPANIC ORIGIN,32,24,681,38,63,19,33,39,42,57,57,99,56,84
120,MAINE TOTAL,743,755,704,786,831,824,811,801,779,787,799,830,828,832
121,MALE,354,364,333,374,391,390,393,380,363,383,373,388,397,383
122,FEMALE,389,391,371,412,440,434,418,421,416,404,426,442,431,449
123,WHITE,737,751,3,779,822,799,794,778,765,766,771,793,796,803
124,BLACK,0,1,695,4,4,6,2,5,5,4,5,9,5,4
125,HISPANIC ORIGIN,2,2,1,4,3,7,1,9,4,4,4,7,8,7
126,MARYLAND TOTAL,2369,2481,2331,2499,2377,2676,2720,2828,2509,2888,2995,3114,3095,3383
127,MALE,1063,1183,1100,1129,1043,1221,1232,1254,1156,1336,1378,1454,1457,1517
128,FEMALE,1305,1298,1231,1371,1335,1454,1488,1574,1353,1552,1617,1659,1639,1865
129,WHITE,1720,1814,25,1673,1702,1913,1905,1876,1711,1913,1941,1975,2021,2069
130,BLACK,613,619,1738,784,592,668,748,831,685,850,856,954,856,1022
131,HISPANIC ORIGIN,16,61,549,30,42,58,83,93,90,115,120,170,195,150
132,MASSACHUSETTS TOTAL,2993,3040,2947,3244,3198,3483,3180,3293,3230,3759,3250,3660,3345,3546
133,MALE,1374,1390,1425,1519,1445,1641,1471,1583,1486,1750,1485,1767,1556,1656
134,FEMALE,1619,1650,1522,1725,1752,1842,1710,1710,1743,2009,1765,1893,1789,1891
135,WHITE,2842,2875,47,3047,2980,3234,2945,3026,3037,3331,2980,3229,2934,3174
136,BLACK,120,125,2830,173,176,148,122,145,109,228,141,266,240,165
137,HISPANIC ORIGIN,28,48,93,103,74,140,84,103,134,216,155,199,249,271
138,MICHIGAN TOTAL,5112,5052,5217,4996,5291,5364,5256,5531,5127,5620,5159,5434,5453,5513
139,MALE,2393,2355,2470,2387,2474,2519,2483,2590,2393,2663,2397,2540,2563,2648
140,FEMALE,2719,2697,2747,2609,2817,2845,2773,2940,2734,2957,2762,2893,2890,2865
141,WHITE,4358,4328,108,4325,4578,4526,4404,4642,4376,4758,4280,4579,4620,4568
142,BLACK,702,633,4469,621,621,676,674,738,598,687,685,708,670,713
143,HISPANIC ORIGIN,58,87,716,51,109,73,137,85,107,193,179,101,99,178
144,MINNESOTA TOTAL,2677,2644,2787,2688,2888,3080,2862,2931,2756,3085,2822,3055,3000,3436
145,MALE,1294,1263,1394,1257,1371,1471,1385,1394,1341,1496,1346,1457,1429,1690
146,FEMALE,1383,1381,1393,1431,1517,1608,1477,1537,1415,1589,1476,1598,1570,1746
147,WHITE,2583,2551,11,2592,2795,2884,2731,2740,2639,2846,2667,2723,2727,3086
148,BLACK,62,31,2730,54,40,83,72,87,62,95,83,126,128,139
149,HISPANIC ORIGIN,16,12,23,9,32,53,22,39,43,54,48,54,44,116
150,MISSISSIPPI TOTAL,1353,1389,1446,1465,1400,1510,1437,1589,1532,1794,1628,1725,1599,1749
151,MALE,617,637,630,655,619,677,620,741,674,824,740,780,718,792
152,FEMALE,736,753,816,809,781,833,817,848,857,971,888,945,881,957
153,WHITE,831,942,8,1006,954,965,909,982,970,1094,964,1070,956,1054
154,BLACK,516,445,960,450,440,531,518,588,534,674,639,632,621,654
155,HISPANIC ORIGIN,2,3,478,13,8,16,,10,5,5,17,18,16,34
156,MISSOURI TOTAL,2748,2964,2848,3023,2981,3336,3170,3224,3013,3384,3194,3333,3299,3388
157,MALE,1343,1346,1302,1386,1320,1540,1471,1510,1414,1608,1514,1534,1541,1556
158,FEMALE,1405,1619,1547,1637,1662,1796,1699,1714,1598,1776,1680,1799,1758,1832
159,WHITE,2500,2730,20,2649,2605,2865,2772,2799,2622,2923,2788,2886,2887,2935
160,BLACK,233,224,2586,340,340,382,315,352,338,374,325,385,326,373
161,HISPANIC ORIGIN,15,30,232,13,21,50,58,25,37,71,28,59,53,127
162,MONTANA TOTAL,453,487,472,461,468,519,512,516,491,553,506,581,579,641
163,MALE,216,236,227,224,229,252,254,247,250,263,250,287,279,322
164,FEMALE,237,251,246,237,239,266,258,269,241,290,257,294,300,318
165,WHITE,444,461,5,439,448,493,482,487,452,506,483,542,546,597
166,BLACK,0,2,448,,,,,2,2,,3,2,1,2
167,HISPANIC ORIGIN,5,5,1,9,7,6,3,9,13,8,11,12,11,15
168,NEBRASKA TOTAL,841,875,790,865,838,918,852,939,804,901,873,1008,883,971
169,MALE,396,410,365,394,393,431,398,443,372,441,415,480,418,464
170,FEMALE,445,464,424,471,445,487,454,495,432,460,459,529,466,507
171,WHITE,801,848,11,820,801,865,817,890,769,846,826,927,822,903
172,BLACK,33,19,769,30,28,31,21,25,13,32,36,41,26,45
173,HISPANIC ORIGIN,5,8,18,20,16,27,19,28,25,27,26,47,50,28
174,NEVADA TOTAL,538,694,606,720,775,965,905,1147,996,1176,1088,1371,1277,1455
175,MALE,272,316,291,349,383,471,434,581,477,574,524,663,616,698
176,FEMALE,266,378,315,371,392,494,471,567,519,602,564,708,662,757
177,WHITE,480,638,28,625,698,844,762,942,819,947,846,1076,1009,1072
178,BLACK,37,35,547,55,44,61,63,114,69,107,124,122,108,155
179,HISPANIC ORIGIN,27,31,40,53,65,83,92,131,103,181,189,234,212,268
180,NEW HAMPSHIRE TOTAL,539,618,563,628,629,716,687,756,666,752,694,763,726,843
181,MALE,271,289,274,301,293,341,326,360,327,353,331,359,359,401
182,FEMALE,269,329,290,327,336,375,361,396,339,398,363,404,367,442
183,WHITE,533,611,3,610,615,699,667,737,647,730,669,740,698,813
184,BLACK,0,3,553,10,1,2,4,4,5,7,7,5,2,4
185,HISPANIC ORIGIN,1,3,1,4,6,5,6,11,5,15,15,9,18,19
186,NEW JERSEY TOTAL,3698,3765,3638,3859,3802,4085,3487,4022,3656,4326,3919,4165,4297,5008
187,MALE,1767,1784,1655,1820,1761,1852,1600,1913,1712,1982,1808,1911,2046,2366
188,FEMALE,1931,1981,1984,2039,2041,2233,1887,2109,1944,2344,2112,2255,2251,2642
189,WHITE,3202,3216,265,3346,3266,3410,2927,3233,2921,3448,3161,3349,3349,3826
190,BLACK,412,480,3091,422,429,523,359,513,555,586,496,550,611,658
191,HISPANIC ORIGIN,187,284,480,212,251,331,258,388,284,468,497,486,578,817
192,NEW MEXICO TOTAL,695,749,756,750,727,936,951,937,746,978,919,916,916,1028
193,MALE,335,349,359,332,351,436,450,445,336,450,433,416,422,495
194,FEMALE,360,400,397,419,375,501,500,491,409,528,486,500,493,533
195,WHITE,632,682,276,670,638,792,827,833,638,875,753,722,764,881
196,BLACK,9,11,662,18,25,23,18,22,4,24,28,26,15,24
197,HISPANIC ORIGIN,189,252,9,239,274,316,289,346,249,349,302,340,322,323
198,NEW YORK TOTAL,7848,8176,7656,8047,8261,8624,8143,8458,8395,8887,8078,9142,8553,9370
199,MALE,3627,3644,3581,3710,3725,3965,3789,3912,3883,4084,3679,4225,3934,4309
200,FEMALE,4221,4533,4075,4337,4536,4659,4354,4546,4512,4803,4399,4917,4619,5061
201,WHITE,6843,6816,699,6696,6816,7090,6602,6941,6797,6837,6185,6997,6474,6933
202,BLACK,845,1164,6498,1133,1165,1188,1083,1143,1306,1542,1385,1570,1410,1598
203,HISPANIC ORIGIN,476,679,1006,603,674,754,682,836,830,983,995,1044,963,991
204,NORTH CAROLINA TOTAL,3173,3673,3468,3720,3662,4292,4160,4902,4455,5295,4779,5194,5160,5161
205,MALE,1452,1741,1620,1693,1680,1958,1890,2231,2045,2401,2178,2414,2384,2377
206,FEMALE,1721,1932,1848,2026,1982,2334,2270,2671,2410,2894,2601,2780,2776,2783
207,WHITE,2496,2930,14,2812,2883,3268,3281,3782,3344,3848,3545,3776,3830,3638
208,BLACK,649,660,2677,827,686,874,785,971,871,1279,1040,1191,1110,1166
209,HISPANIC ORIGIN,19,13,732,31,33,44,32,83,105,115,107,208,131,267
210,NORTH DAKOTA TOTAL,412,412,416,409,405,412,397,399,361,383,363,424,397,429
211,MALE,203,204,203,202,188,199,192,189,177,192,180,216,194,217
212,FEMALE,209,208,213,208,217,213,205,209,184,191,183,208,204,212
213,WHITE,399,401,1,389,388,393,362,361,324,354,345,403,368,393
214,BLACK,0,1,396,2,1,2,1,2,2,2,2,4,2,2
215,HISPANIC ORIGIN,1,2,0,2,3,4,3,3,2,7,5,5,10,6
216,OHIO TOTAL,5280,5604,5266,5561,5488,6003,5919,6108,5601,6076,5657,6128,6062,6733
217,MALE,2432,2611,2460,2559,2490,2813,2759,2913,2664,2798,2640,2837,2840,3219
