,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012
95,HISPANIC ORIGIN,184,71,49
96,IOWA TOTAL,2320,1745,1548
97,MALE,1135,838,733
98,FEMALE,1186,906,816
99,WHITE,2173,1673,1482
100,BLACK,54,35,33
101,HISPANIC ORIGIN,120,32,30
102,KANSAS TOTAL,2120,1467,1249
103,MALE,1029,671,567
104,FEMALE,1091,796,682
105,WHITE,1851,1342,1148
106,BLACK,105,64,54
107,HISPANIC ORIGIN,197,54,33
108,KENTUCKY TOTAL,3291,2303,1895
109,MALE,1581,1041,843
110,FEMALE,1710,1262,1052
111,WHITE,2966,2091,1733
112,BLACK,223,162,125
113,HISPANIC ORIGIN,82,20,13
114,LOUISIANA TOTAL,3321,2498,2148
115,MALE,1554,1102,931
116,FEMALE,1766,1396,1217
117,WHITE,2242,1681,1421
118,BLACK,996,768,692
119,HISPANIC ORIGIN,125,57,48
120,MAINE TOTAL,1042,787,700
121,MALE,509,383,333
122,FEMALE,533,404,367
123,WHITE,1001,766,682
124,BLACK,8,4,4
125,HISPANIC ORIGIN,10,4,4
126,MARYLAND TOTAL,4449,2888,2609
127,MALE,2101,1336,1189
128,FEMALE,2348,1552,1421
129,WHITE,2837,1913,1711
130,BLACK,1276,850,788
131,HISPANIC ORIGIN,342,115,103
132,MASSACHUSETTS TOTAL,5170,3759,3382
133,MALE,2452,1750,1576
134,FEMALE,2718,2009,1807
135,WHITE,4358,3331,3009
136,BLACK,385,228,211
137,HISPANIC ORIGIN,453,216,202
138,MICHIGAN TOTAL,7496,5620,4832
139,MALE,3601,2663,2273
140,FEMALE,3895,2957,2559
141,WHITE,6103,4758,4065
142,BLACK,1028,687,627
143,HISPANIC ORIGIN,285,193,158
144,MINNESOTA TOTAL,4055,3085,2859
145,MALE,1993,1496,1374
146,FEMALE,2062,1589,1485
147,WHITE,3639,2846,2646
148,BLACK,179,95,88
149,HISPANIC ORIGIN,136,54,44
150,MISSISSIPPI TOTAL,2166,1794,1588
151,MALE,1019,824,710
152,FEMALE,1147,971,877
153,WHITE,1355,1094,951
154,BLACK,748,674,613
155,HISPANIC ORIGIN,35,5,2
156,MISSOURI TOTAL,4521,3384,2818
157,MALE,2169,1608,1321
158,FEMALE,2352,1776,1497
159,WHITE,3887,2923,2452
160,BLACK,484,374,313
161,HISPANIC ORIGIN,140,71,63
162,MONTANA TOTAL,768,553,495
163,MALE,379,263,238
164,FEMALE,389,290,258
165,WHITE,698,506,461
166,BLACK,2,,
167,HISPANIC ORIGIN,15,8,7
168,NEBRASKA TOTAL,1371,901,798
169,MALE,677,441,386
170,FEMALE,694,460,412
171,WHITE,1265,846,750
172,BLACK,51,32,29
173,HISPANIC ORIGIN,110,27,21
174,NEVADA TOTAL,2039,1176,1048
175,MALE,1015,574,511
176,FEMALE,1024,602,536
177,WHITE,1627,947,845
178,BLACK,169,107,101
179,HISPANIC ORIGIN,464,181,157
180,NEW HAMPSHIRE TOTAL,1028,752,688
181,MALE,503,353,322
182,FEMALE,525,398,366
183,WHITE,980,730,670
184,BLACK,12,7,6
185,HISPANIC ORIGIN,29,15,15
186,NEW JERSEY TOTAL,6730,4326,3670
187,MALE,3215,1982,1676
188,FEMALE,3514,2344,1994
189,WHITE,5173,3448,2907
190,BLACK,907,586,540
191,HISPANIC ORIGIN,1170,468,395
192,NEW MEXICO TOTAL,1553,978,878
193,MALE,754,450,404
194,FEMALE,799,528,474
195,WHITE,1310,875,789
196,BLACK,43,24,24
197,HISPANIC ORIGIN,624,349,306
198,NEW YORK TOTAL,15066,8887,7675
199,MALE,7151,4084,3503
200,FEMALE,7916,4803,4172
201,WHITE,10925,6837,5781
202,BLACK,2482,1542,1456
203,HISPANIC ORIGIN,2363,983,835
204,NORTH CAROLINA TOTAL,7265,5295,4624
205,MALE,3439,2401,2103
206,FEMALE,3826,2894,2521
207,WHITE,5453,3848,3276
208,BLACK,1529,1279,1203
209,HISPANIC ORIGIN,603,115,95
210,NORTH DAKOTA TOTAL,528,383,328
211,MALE,263,192,165
212,FEMALE,265,191,163
213,WHITE,471,354,305
214,BLACK,6,2,2
215,HISPANIC ORIGIN,16,7,6
216,OHIO TOTAL,8750,6076,5395
217,MALE,4175,2798,2463
218,FEMALE,4576,3278,2932
219,WHITE,7473,5201,4565
220,BLACK,1028,723,699
221,HISPANIC ORIGIN,252,116,98
222,OKLAHOMA TOTAL,2808,1806,1431
223,MALE,1358,835,656
224,FEMALE,1449,970,775
225,WHITE,2072,1364,1101
226,BLACK,191,116,102
227,HISPANIC ORIGIN,174,53,36
228,OREGON TOTAL,2998,2086,1897
229,MALE,1480,990,893
230,FEMALE,1518,1095,1004
231,WHITE,2633,1903,1733
232,BLACK,57,32,26
233,HISPANIC ORIGIN,226,69,60
234,PENNSYLVANIA TOTAL,9847,6795,5824
235,MALE,4727,3217,2740
236,FEMALE,5120,3578,3084
237,WHITE,8382,5951,5074
238,BLACK,1006,675,614
239,HISPANIC ORIGIN,501,225,184
240,RHODE ISLAND TOTAL,817,552,469
241,MALE,384,254,212
242,FEMALE,434,298,257
243,WHITE,713,497,420
244,BLACK,50,33,30
245,HISPANIC ORIGIN,95,37,32
246,SOUTH CAROLINA TOTAL,3516,2479,2187
247,MALE,1660,1096,940
248,FEMALE,1856,1382,1247
249,WHITE,2508,1745,1515
250,BLACK,919,691,631
251,HISPANIC ORIGIN,114,21,16
252,SOUTH DAKOTA TOTAL,616,454,370
253,MALE,304,220,180
254,FEMALE,312,235,191
255,WHITE,541,405,341
256,BLACK,6,3,
257,HISPANIC ORIGIN,16,6,3
258,TENNESSEE TOTAL,4849,3210,2606
259,MALE,2300,1432,1172
260,FEMALE,2548,1778,1434
261,WHITE,3925,2621,2098
262,BLACK,768,513,441
263,HISPANIC ORIGIN,241,107,84
264,TEXAS TOTAL,18642,10749,8643
265,MALE,9046,4977,3925
266,FEMALE,9596,5772,4719
267,WHITE,15029,8643,6900
268,BLACK,2213,1569,1352
269,HISPANIC ORIGIN,6831,2652,1890
270,UTAH TOTAL,1917,1138,1022
271,MALE,940,543,494
272,FEMALE,977,595,528
273,WHITE,1780,1089,989
274,BLACK,23,9,9
275,HISPANIC ORIGIN,233,61,49
276,VERMONT TOTAL,496,357,308
277,MALE,241,168,146
278,FEMALE,255,189,162
279,WHITE,470,341,293
280,BLACK,5,3,3
281,HISPANIC ORIGIN,6,3,3
282,VIRGINIA TOTAL,6094,4210,3778
283,MALE,2890,1931,1709
284,FEMALE,3204,2279,2069
285,WHITE,4496,3222,2872
286,BLACK,1133,772,715
287,HISPANIC ORIGIN,375,114,103
288,WASHINGTON TOTAL,5230,3533,3172
289,MALE,2546,1658,1491
290,FEMALE,2684,1875,1682
291,WHITE,4301,2987,2696
292,BLACK,162,103,72
293,HISPANIC ORIGIN,460,172,139
294,WEST VIRGINIA TOTAL,1452,982,690
295,MALE,705,474,332
296,FEMALE,747,508,358
297,WHITE,1391,948,665
298,BLACK,40,23,19
299,HISPANIC ORIGIN,14,8,4
300,WISCONSIN TOTAL,4352,3318,3127
301,MALE,2115,1554,1460
302,FEMALE,2236,1764,1667
303,WHITE,3920,3030,2854
304,BLACK,242,184,178
305,HISPANIC ORIGIN,214,76,71
306,WYOMING TOTAL,427,268,247
307,MALE,213,127,118
308,FEMALE,213,141,129
309,WHITE,403,259,240
310,BLACK,3,1,1
311,HISPANIC ORIGIN,32,10,8
