,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012
0,UNITED STATES TOTAL,235248,153157,132948
1,MALE,113243,71414,61551
2,FEMALE,122005,81743,71397
3,WHITE,187084,124697,107846
4,BLACK,28709,19680,17813
5,HISPANIC ORIGIN,35204,13697,11188
6,ALABAMA TOTAL,3594,2556,2154
7,MALE,1703,1201,1009
8,FEMALE,1891,1354,1145
9,WHITE,2580,1878,1530
10,BLACK,891,610,560
11,HISPANIC ORIGIN,107,12,
12,ALASKA TOTAL,516,361,289
13,MALE,261,181,140
14,FEMALE,255,180,149
15,WHITE,373,283,232
16,BLACK,21,10,6
17,HISPANIC ORIGIN,23,10,7
18,ARIZONA TOTAL,4863,2812,2412
19,MALE,2361,1398,1193
20,FEMALE,2501,1414,1219
21,WHITE,4130,2445,2123
22,BLACK,211,122,95
23,HISPANIC ORIGIN,1396,516,400
24,ARKANSAS TOTAL,2198,1376,1124
25,MALE,1044,637,531
26,FEMALE,1154,739,593
27,WHITE,1788,1148,941
28,BLACK,313,192,155
29,HISPANIC ORIGIN,143,16,14
30,CALIFORNIA TOTAL,28357,15356,13462
31,MALE,13887,7245,6326
32,FEMALE,14470,8111,7137
33,WHITE,21330,11785,10391
34,BLACK,1810,1192,1063
35,HISPANIC ORIGIN,9935,3684,3157
36,COLORADO TOTAL,3817,2635,2495
37,MALE,1882,1251,1179
38,FEMALE,1935,1384,1316
39,WHITE,3474,2471,2345
40,BLACK,140,75,69
41,HISPANIC ORIGIN,681,284,259
42,CONNECTICUT TOTAL,2726,1760,1568
43,MALE,1297,811,712
44,FEMALE,1429,949,856
45,WHITE,2238,1520,1352
46,BLACK,279,164,159
47,HISPANIC ORIGIN,292,127,103
48,DELAWARE TOTAL,693,470,431
49,MALE,329,218,196
50,FEMALE,363,252,235
51,WHITE,521,365,336
52,BLACK,142,91,86
53,HISPANIC ORIGIN,56,11,10
54,DISTRICT OF COLUMBIA TOTAL,517,385,350
55,MALE,240,173,154
56,FEMALE,277,212,196
57,WHITE,246,180,161
58,BLACK,244,191,177
59,HISPANIC ORIGIN,48,14,13
60,FLORIDA TOTAL,15034,9102,8107
61,MALE,7179,4234,3727
62,FEMALE,7855,4869,4379
63,WHITE,12054,7515,6712
64,BLACK,2244,1262,1104
65,HISPANIC ORIGIN,3349,1622,1399
66,GEORGIA TOTAL,7179,4767,4168
67,MALE,3424,2178,1899
68,FEMALE,3755,2589,2269
69,WHITE,4659,3121,2683
70,BLACK,2151,1491,1340
71,HISPANIC ORIGIN,489,140,114
72,HAWAII TOTAL,1013,547,480
73,MALE,493,256,225
74,FEMALE,520,292,255
75,WHITE,238,170,153
76,BLACK,18,12,12
77,HISPANIC ORIGIN,81,33,25
78,IDAHO TOTAL,1129,745,679
79,MALE,553,354,323
80,FEMALE,577,390,357
81,WHITE,1077,726,661
82,BLACK,7,,
83,HISPANIC ORIGIN,119,35,27
84,ILLINOIS TOTAL,9651,6425,5428
85,MALE,4638,3010,2517
86,FEMALE,5013,3415,2911
87,WHITE,7673,5150,4275
88,BLACK,1322,987,918
89,HISPANIC ORIGIN,1200,415,295
90,INDIANA TOTAL,4852,3270,2801
91,MALE,2326,1542,1331
92,FEMALE,2526,1727,1470
93,WHITE,4349,2926,2509
94,BLACK,385,309,263
