,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018
70,BLACK,2439,1577,1374
71,HISPANIC ORIGIN,525,135,101
72,HAWAII TOTAL,1057,523,427
73,MALE,504,237,193
74,FEMALE,553,287,234
75,WHITE,237,137,111
76,BLACK,22,10,4
77,HISPANIC ORIGIN,82,34,25
78,IDAHO TOTAL,1299,743,587
79,MALE,645,362,286
80,FEMALE,654,381,301
81,WHITE,1214,708,555
82,BLACK,8,8,6
83,HISPANIC ORIGIN,182,51,30
84,ILLINOIS TOTAL,9732,6068,4740
85,MALE,4711,2794,2183
86,FEMALE,5021,3274,2557
87,WHITE,7564,4892,3802
88,BLACK,1334,861,723
89,HISPANIC ORIGIN,1458,537,354
90,INDIANA TOTAL,5006,3131,2364
91,MALE,2404,1522,1115
92,FEMALE,2602,1609,1249
93,WHITE,4260,2723,2066
94,BLACK,484,299,221
95,HISPANIC ORIGIN,337,96,77
96,IOWA TOTAL,2376,1658,1335
97,MALE,1176,833,660
98,FEMALE,1201,825,675
99,WHITE,2192,1580,1270
100,BLACK,89,47,41
101,HISPANIC ORIGIN,206,85,69
102,KANSAS TOTAL,2149,1449,1152
103,MALE,1049,692,554
104,FEMALE,1100,757,598
105,WHITE,1880,1311,1028
106,BLACK,129,65,58
107,HISPANIC ORIGIN,231,71,55
108,KENTUCKY TOTAL,3370,2389,1746
109,MALE,1627,1092,789
110,FEMALE,1743,1297,958
111,WHITE,3014,2194,1587
112,BLACK,248,164,131
113,HISPANIC ORIGIN,96,15,12
114,LOUISIANA TOTAL,3458,2263,1656
115,MALE,1635,1032,774
116,FEMALE,1823,1231,882
117,WHITE,2212,1501,1075
118,BLACK,1076,688,531
119,HISPANIC ORIGIN,189,56,35
120,MAINE TOTAL,1074,828,693
121,MALE,527,397,329
122,FEMALE,546,431,364
123,WHITE,1011,796,669
124,BLACK,17,5,3
125,HISPANIC ORIGIN,11,8,3
126,MARYLAND TOTAL,4666,3095,2320
127,MALE,2217,1457,1107
128,FEMALE,2449,1639,1213
129,WHITE,2800,2021,1536
130,BLACK,1414,856,630
131,HISPANIC ORIGIN,500,195,158
132,MASSACHUSETTS TOTAL,5460,3345,2731
133,MALE,2594,1556,1280
134,FEMALE,2866,1789,1451
135,WHITE,4417,2934,2397
136,BLACK,454,240,194
137,HISPANIC ORIGIN,565,249,177
138,MICHIGAN TOTAL,7657,5453,4418
139,MALE,3688,2563,2072
140,FEMALE,3970,2890,2346
141,WHITE,6257,4620,3724
142,BLACK,1027,670,557
143,HISPANIC ORIGIN,241,99,81
144,MINNESOTA TOTAL,4238,3000,2523
145,MALE,2099,1429,1194
146,FEMALE,2139,1570,1329
147,WHITE,3632,2727,2286
148,BLACK,252,128,106
149,HISPANIC ORIGIN,156,44,37
150,MISSISSIPPI TOTAL,2194,1599,1180
151,MALE,1027,718,531
152,FEMALE,1167,881,650
153,WHITE,1353,956,688
154,BLACK,798,621,476
155,HISPANIC ORIGIN,44,16,11
156,MISSOURI TOTAL,4676,3299,2509
157,MALE,2243,1541,1162
158,FEMALE,2433,1758,1346
159,WHITE,4006,2887,2227
160,BLACK,504,326,238
161,HISPANIC ORIGIN,176,53,47
162,MONTANA TOTAL,822,579,518
163,MALE,405,279,247
164,FEMALE,417,300,271
165,WHITE,769,546,494
166,BLACK,4,1,
167,HISPANIC ORIGIN,22,11,11
168,NEBRASKA TOTAL,1428,883,676
169,MALE,710,418,314
170,FEMALE,718,466,362
171,WHITE,1277,822,633
172,BLACK,60,26,15
173,HISPANIC ORIGIN,175,50,34
174,NEVADA TOTAL,2324,1277,1006
175,MALE,1145,616,497
176,FEMALE,1179,662,509
177,WHITE,1731,1009,818
178,BLACK,197,108,65
179,HISPANIC ORIGIN,584,212,156
180,NEW HAMPSHIRE TOTAL,1080,726,576
181,MALE,530,359,280
182,FEMALE,550,367,296
183,WHITE,1002,698,556
184,BLACK,16,2,2
185,HISPANIC ORIGIN,42,18,14
186,NEW JERSEY TOTAL,7009,4297,3384
187,MALE,3348,2046,1577
188,FEMALE,3660,2251,1808
189,WHITE,5227,3349,2678
190,BLACK,1013,611,472
191,HISPANIC ORIGIN,1259,578,471
192,NEW MEXICO TOTAL,1576,916,715
193,MALE,761,422,327
194,FEMALE,815,493,387
195,WHITE,1251,764,616
196,BLACK,30,15,9
197,HISPANIC ORIGIN,666,322,242
198,NEW YORK TOTAL,15478,8553,6775
199,MALE,7364,3934,3081
200,FEMALE,8113,4619,3694
201,WHITE,11157,6474,5129
202,BLACK,2570,1410,1182
203,HISPANIC ORIGIN,2604,963,731
204,NORTH CAROLINA TOTAL,7911,5160,3899
205,MALE,3748,2384,1822
206,FEMALE,4163,2776,2077
207,WHITE,5775,3830,2903
208,BLACK,1685,1110,852
209,HISPANIC ORIGIN,588,131,104
210,NORTH DAKOTA TOTAL,560,397,335
211,MALE,286,194,160
212,FEMALE,274,204,175
213,WHITE,499,368,315
214,BLACK,14,2,1
215,HISPANIC ORIGIN,16,10,7
216,OHIO TOTAL,8873,6062,4538
217,MALE,4294,2840,2035
218,FEMALE,4579,3222,2503
219,WHITE,7372,5152,3889
220,BLACK,1054,707,519
221,HISPANIC ORIGIN,235,121,60
222,OKLAHOMA TOTAL,2868,1777,1350
223,MALE,1388,824,626
224,FEMALE,1480,953,724
225,WHITE,2254,1422,1098
226,BLACK,195,90,61
227,HISPANIC ORIGIN,310,88,71
228,OREGON TOTAL,3293,2274,1918
229,MALE,1612,1078,912
230,FEMALE,1681,1197,1006
231,WHITE,2874,2059,1769
232,BLACK,78,43,41
233,HISPANIC ORIGIN,365,140,93
234,PENNSYLVANIA TOTAL,9928,6469,5173
235,MALE,4736,3056,2445
236,FEMALE,5192,3414,2728
237,WHITE,8277,5628,4461
238,BLACK,1059,653,562
239,HISPANIC ORIGIN,657,218,154
240,RHODE ISLAND TOTAL,828,532,403
241,MALE,394,238,186
242,FEMALE,435,293,217
243,WHITE,724,488,374
244,BLACK,53,26,16
245,HISPANIC ORIGIN,98,44,30
246,SOUTH CAROLINA TOTAL,3914,2430,1836
247,MALE,1849,1121,828
248,FEMALE,2066,1309,1007
249,WHITE,2790,1727,1276
250,BLACK,1000,646,519
251,HISPANIC ORIGIN,207,36,19
252,SOUTH DAKOTA TOTAL,648,429,331
253,MALE,325,207,160
254,FEMALE,323,222,170
255,WHITE,573,392,305
256,BLACK,12,2,1
257,HISPANIC ORIGIN,15,5,4
258,TENNESSEE TOTAL,5202,3183,2487
259,MALE,2501,1476,1174
260,FEMALE,2701,1707,1313
261,WHITE,4156,2606,2039
262,BLACK,830,484,368
263,HISPANIC ORIGIN,282,69,48
264,TEXAS TOTAL,21064,11634,8886
265,MALE,10274,5361,4064
266,FEMALE,10790,6273,4822
267,WHITE,16689,9331,7158
268,BLACK,2625,1580,1203
269,HISPANIC ORIGIN,7658,2843,1918
270,UTAH TOTAL,2247,1443,1214
271,MALE,1109,691,568
272,FEMALE,1138,752,646
273,WHITE,2080,1385,1171
274,BLACK,31,8,5
275,HISPANIC ORIGIN,291,96,82
276,VERMONT TOTAL,503,343,273
277,MALE,247,168,132
278,FEMALE,257,175,141
279,WHITE,478,330,263
280,BLACK,4,2,1
281,HISPANIC ORIGIN,8,7,6
282,VIRGINIA TOTAL,6386,4159,3319
283,MALE,3051,1958,1578
284,FEMALE,3335,2201,1742
285,WHITE,4496,3065,2412
286,BLACK,1198,754,637
287,HISPANIC ORIGIN,669,159,112
288,WASHINGTON TOTAL,5775,3852,3234
289,MALE,2869,1861,1541
290,FEMALE,2906,1991,1693
291,WHITE,4663,3219,2736
292,BLACK,232,155,103
293,HISPANIC ORIGIN,736,267,204
294,WEST VIRGINIA TOTAL,1406,892,610
295,MALE,685,423,294
296,FEMALE,721,470,316
297,WHITE,1312,856,585
298,BLACK,49,19,12
299,HISPANIC ORIGIN,24,10,4
300,WISCONSIN TOTAL,4436,3129,2776
301,MALE,2186,1519,1328
302,FEMALE,2250,1610,1448
303,WHITE,3948,2883,2574
304,BLACK,264,137,110
305,HISPANIC ORIGIN,232,91,84
306,WYOMING TOTAL,430,268,220
307,MALE,216,134,107
308,FEMALE,214,135,113
309,WHITE,408,259,214
310,BLACK,5,3,2
311,HISPANIC ORIGIN,41,16,13
