,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018
0,US TOTAL,249748,153066,122281
1,MALE,120573,71726,56964
2,FEMALE,129176,81340,65317
3,WHITE,194127,123727,99255
4,BLACK,31623,19023,15194
5,HISPANIC ORIGIN,41049,15558,11695
6,ALABAMA TOTAL,3753,2490,1830
7,MALE,1772,1122,821
8,FEMALE,1982,1368,1010
9,WHITE,2610,1774,1309
10,BLACK,976,657,483
11,HISPANIC ORIGIN,169,26,22
12,ALASKA TOTAL,523,337,263
13,MALE,265,175,133
14,FEMALE,258,162,130
15,WHITE,330,236,193
16,BLACK,16,9,8
17,HISPANIC ORIGIN,20,10,8
18,ARIZONA TOTAL,5361,3262,2800
19,MALE,2606,1539,1288
20,FEMALE,2755,1723,1512
21,WHITE,4635,2968,2535
22,BLACK,257,114,104
23,HISPANIC ORIGIN,1624,757,588
24,ARKANSAS TOTAL,2261,1262,919
25,MALE,1093,602,431
26,FEMALE,1169,660,488
27,WHITE,1833,1031,756
28,BLACK,327,178,132
29,HISPANIC ORIGIN,172,43,21
30,CALIFORNIA TOTAL,30243,15690,13240
31,MALE,14767,7372,6205
32,FEMALE,15476,8318,7035
33,WHITE,21467,11711,10005
34,BLACK,1912,1061,933
35,HISPANIC ORIGIN,10595,4211,3300
36,COLORADO TOTAL,4353,2645,2342
37,MALE,2171,1315,1144
38,FEMALE,2182,1330,1198
39,WHITE,3911,2439,2185
40,BLACK,185,73,51
41,HISPANIC ORIGIN,806,323,259
42,CONNECTICUT TOTAL,2834,1726,1370
43,MALE,1365,804,662
44,FEMALE,1469,921,708
45,WHITE,2326,1483,1193
46,BLACK,319,158,124
47,HISPANIC ORIGIN,464,164,120
48,DELAWARE TOTAL,756,472,369
49,MALE,359,215,167
50,FEMALE,397,258,202
51,WHITE,540,340,264
52,BLACK,163,109,90
53,HISPANIC ORIGIN,73,27,20
54,DISTRICT OF COLUMBIA TOTAL,567,397,313
55,MALE,264,179,141
56,FEMALE,304,218,172
57,WHITE,270,207,168
58,BLACK,251,163,123
59,HISPANIC ORIGIN,53,24,20
60,FLORIDA TOTAL,16845,9435,7918
61,MALE,8035,4383,3648
62,FEMALE,8810,5052,4270
63,WHITE,13425,7798,6579
64,BLACK,2644,1340,1094
65,HISPANIC ORIGIN,4288,1723,1393
66,GEORGIA TOTAL,7850,4840,4084
67,MALE,3700,2189,1814
68,FEMALE,4150,2651,2270
69,WHITE,4949,3093,2581
