,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006
187,MALE,3114,1600,1121
188,FEMALE,3374,1887,1285
189,WHITE,5025,2927,2037
190,BLACK,855,359,267
191,HISPANIC ORIGIN,960,258,165
192,NEW_MEXICO TOTAL,1436,951,731
193,MALE,688,450,343
194,FEMALE,748,500,387
195,WHITE,1231,827,641
196,BLACK,36,18,10
197,HISPANIC ORIGIN,519,289,233
198,NEW_YORK TOTAL,14376,8143,5402
199,MALE,6832,3789,2495
200,FEMALE,7544,4354,2908
201,WHITE,10793,6602,4397
202,BLACK,2292,1083,742
203,HISPANIC ORIGIN,2054,682,390
204,NORTH_CAROLINA TOTAL,6490,4160,2422
205,MALE,3117,1890,1180
206,FEMALE,3373,2270,1242
207,WHITE,4980,3281,1994
208,BLACK,1284,785,408
209,HISPANIC ORIGIN,418,32,9
210,NORTH_DAKOTA TOTAL,484,397,259
211,MALE,238,192,127
212,FEMALE,246,205,132
213,WHITE,439,362,240
214,BLACK,1,1,
215,HISPANIC ORIGIN,6,3,1
216,OHIO TOTAL,8508,5919,4408
217,MALE,4072,2759,2051
218,FEMALE,4436,3160,2357
219,WHITE,7351,5212,3936
220,BLACK,926,593,397
221,HISPANIC ORIGIN,216,112,58
222,OKLAHOMA TOTAL,2616,1776,1174
223,MALE,1253,833,561
224,FEMALE,1363,943,613
225,WHITE,2064,1494,995
226,BLACK,188,100,72
227,HISPANIC ORIGIN,117,37,17
228,OREGON TOTAL,2802,1924,1601
229,MALE,1373,930,749
230,FEMALE,1429,995,851
231,WHITE,2578,1807,1518
232,BLACK,39,16,16
233,HISPANIC ORIGIN,169,57,42
234,PENNSYLVANIA TOTAL,9436,5991,4394
235,MALE,4492,2826,2091
236,FEMALE,4944,3165,2302
237,WHITE,8373,5489,4027
238,BLACK,900,432,305
239,HISPANIC ORIGIN,312,119,77
240,RHODE_ISLAND TOTAL,806,536,431
241,MALE,382,247,197
242,FEMALE,424,289,234
243,WHITE,723,498,401
244,BLACK,40,21,17
245,HISPANIC ORIGIN,76,25,19
246,SOUTH_CAROLINA TOTAL,3197,1986,1376
247,MALE,1521,894,605
248,FEMALE,1677,1091,771
249,WHITE,2270,1368,935
250,BLACK,858,582,419
