,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008
0,UNITED_STATES TOTAL,225499,146311,131144
1,MALE,108974,68242,60729
2,FEMALE,116525,78069,70415
3,WHITE,183169,122020,109100
4,BLACK,26528,17375,16133
5,HISPANIC ORIGIN,30852,11608,9745
6,ALABAMA TOTAL,3497,2438,2126
7,MALE,1654,1092,927
8,FEMALE,1843,1346,1199
9,WHITE,2541,1791,1543
10,BLACK,875,611,547
11,HISPANIC ORIGIN,71,4,4
12,ALASKA TOTAL,488,345,304
13,MALE,246,171,152
14,FEMALE,242,174,152
15,WHITE,364,278,251
16,BLACK,17,10,7
17,HISPANIC ORIGIN,15,9,8
18,ARIZONA TOTAL,4688,2874,2497
19,MALE,2326,1382,1191
20,FEMALE,2362,1492,1306
21,WHITE,4163,2539,2226
22,BLACK,185,121,95
23,HISPANIC ORIGIN,1227,410,291
24,ARKANSAS TOTAL,2108,1317,1092
25,MALE,1002,584,477
26,FEMALE,1106,734,615
27,WHITE,1733,1125,931
28,BLACK,308,160,133
29,HISPANIC ORIGIN,74,8,3
30,CALIFORNIA TOTAL,26993,14885,13828
31,MALE,13259,6948,6429
32,FEMALE,13734,7937,7398
33,WHITE,20823,11775,10982
34,BLACK,1682,1105,1073
35,HISPANIC ORIGIN,8859,3263,2961
36,COLORADO TOTAL,3694,2437,2308
37,MALE,1840,1190,1123
38,FEMALE,1854,1247,1185
39,WHITE,3344,2262,2137
40,BLACK,150,85,81
41,HISPANIC ORIGIN,590,225,195
42,CONNECTICUT TOTAL,2651,1761,1610
43,MALE,1270,830,760
44,FEMALE,1381,931,851
45,WHITE,2233,1583,1455
46,BLACK,251,133,121
47,HISPANIC ORIGIN,253,104,89
48,DELAWARE TOTAL,648,447,408
49,MALE,308,204,184
50,FEMALE,339,243,224
51,WHITE,493,355,324
52,BLACK,125,83,78
53,HISPANIC ORIGIN,38,9,7
54,DISTRICT_OF_COLUMBIA TOTAL,469,324,306
55,MALE,216,140,132
56,FEMALE,254,183,174
57,WHITE,203,139,130
58,BLACK,242,173,165
59,HISPANIC ORIGIN,50,11,11
60,FLORIDA TOTAL,14069,8774,7951
61,MALE,6774,4049,3677
