,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008
62,FEMALE,7294,4725,4274
63,WHITE,11674,7533,6806
64,BLACK,1968,1069,985
65,HISPANIC ORIGIN,2909,1380,1227
66,GEORGIA TOTAL,7018,4624,4183
67,MALE,3323,2105,1883
68,FEMALE,3695,2519,2300
69,WHITE,4729,3111,2789
70,BLACK,2014,1414,1309
71,HISPANIC ORIGIN,541,150,128
72,HAWAII TOTAL,977,522,457
73,MALE,478,250,223
74,FEMALE,499,272,235
75,WHITE,239,149,136
76,BLACK,18,2,2
77,HISPANIC ORIGIN,49,17,15
78,IDAHO TOTAL,1095,723,644
79,MALE,538,352,313
80,FEMALE,556,371,331
81,WHITE,1045,697,621
82,BLACK,11,8,8
83,HISPANIC ORIGIN,122,37,30
84,ILLINOIS TOTAL,9521,6151,5436
85,MALE,4623,2900,2521
86,FEMALE,4897,3252,2914
87,WHITE,7750,5160,4520
88,BLACK,1298,826,784
89,HISPANIC ORIGIN,1081,385,314
90,INDIANA TOTAL,4686,3105,2758
91,MALE,2280,1465,1290
92,FEMALE,2406,1640,1468
93,WHITE,4264,2851,2516
94,BLACK,370,228,219
95,HISPANIC ORIGIN,196,45,36
96,IOWA TOTAL,2244,1630,1501
97,MALE,1097,765,699
98,FEMALE,1147,865,801
99,WHITE,2084,1550,1422
100,BLACK,71,42,42
101,HISPANIC ORIGIN,101,21,20
102,KANSAS TOTAL,2037,1343,1219
103,MALE,992,617,552
104,FEMALE,1045,726,667
105,WHITE,1762,1213,1105
106,BLACK,120,68,62
107,HISPANIC ORIGIN,136,43,39
108,KENTUCKY TOTAL,3179,2259,1952
109,MALE,1525,1044,892
110,FEMALE,1653,1215,1060
111,WHITE,2886,2074,1794
112,BLACK,211,136,128
113,HISPANIC ORIGIN,52,13,13
114,LOUISIANA TOTAL,3161,2393,2149
115,MALE,1478,1101,984
116,FEMALE,1683,1292,1165
117,WHITE,2119,1647,1490
118,BLACK,943,712,625
119,HISPANIC ORIGIN,100,39,32
120,MAINE TOTAL,1020,801,716
121,MALE,492,380,336
122,FEMALE,529,421,380
123,WHITE,981,778,698
124,BLACK,10,5,4
125,HISPANIC ORIGIN,17,9,8
126,MARYLAND TOTAL,4218,2828,2611
127,MALE,1984,1254,1153
128,FEMALE,2234,1574,1458
129,WHITE,2762,1876,1725
130,BLACK,1177,831,788
131,HISPANIC ORIGIN,269,93,91
132,MASSACHUSETTS TOTAL,4962,3293,3044
133,MALE,2385,1583,1458
134,FEMALE,2576,1710,1586
135,WHITE,4280,3026,2787
136,BLACK,310,145,145
137,HISPANIC ORIGIN,286,103,77
138,MICHIGAN TOTAL,7487,5531,4865
139,MALE,3609,2590,2249
140,FEMALE,3877,2940,2616
141,WHITE,6200,4642,4065
142,BLACK,968,738,679
143,HISPANIC ORIGIN,198,85,70
144,MINNESOTA TOTAL,3898,2931,2759
145,MALE,1927,1394,1295
146,FEMALE,1972,1537,1464
147,WHITE,3497,2740,2587
148,BLACK,181,87,82
149,HISPANIC ORIGIN,128,39,35
150,MISSISSIPPI TOTAL,2109,1589,1439
151,MALE,1000,741,648
152,FEMALE,1108,848,790
153,WHITE,1360,982,896
154,BLACK,718,588,524
155,HISPANIC ORIGIN,54,10,10
156,MISSOURI TOTAL,4430,3224,2846
157,MALE,2120,1510,1318
158,FEMALE,2309,1714,1528
159,WHITE,3833,2799,2451
160,BLACK,457,352,336
161,HISPANIC ORIGIN,98,25,20
162,MONTANA TOTAL,731,516,473
163,MALE,358,247,227
164,FEMALE,373,269,246
165,WHITE,683,487,447
166,BLACK,2,2,2
167,HISPANIC ORIGIN,15,9,8
168,NEBRASKA TOTAL,1308,939,844
169,MALE,640,443,391
170,FEMALE,669,495,453
171,WHITE,1210,890,803
172,BLACK,42,25,24
173,HISPANIC ORIGIN,76,28,24
174,NEVADA TOTAL,1946,1147,1027
175,MALE,982,581,519
176,FEMALE,964,567,509
177,WHITE,1572,942,850
178,BLACK,148,114,105
179,HISPANIC ORIGIN,392,131,119
180,NEW_HAMPSHIRE TOTAL,1015,756,708
181,MALE,493,360,337
182,FEMALE,522,396,371
183,WHITE,974,737,691
184,BLACK,9,4,4
185,HISPANIC ORIGIN,18,11,8
186,NEW_JERSEY TOTAL,6489,4022,3637
187,MALE,3124,1913,1708
188,FEMALE,3365,2109,1929
189,WHITE,4991,3233,2912
190,BLACK,846,513,475
191,HISPANIC ORIGIN,1006,388,337
192,NEW_MEXICO TOTAL,1473,937,846
193,MALE,720,445,395
194,FEMALE,753,491,451
195,WHITE,1287,833,748
196,BLACK,32,22,20
197,HISPANIC ORIGIN,640,346,289
198,NEW_YORK TOTAL,14665,8458,7559
199,MALE,6999,3912,3471
200,FEMALE,7666,4546,4089
201,WHITE,10972,6941,6166
202,BLACK,2350,1143,1075
203,HISPANIC ORIGIN,2042,836,743
204,NORTH_CAROLINA TOTAL,6845,4902,4370
205,MALE,3249,2231,2006
206,FEMALE,3595,2671,2364
207,WHITE,5158,3782,3331
208,BLACK,1368,971,919
209,HISPANIC ORIGIN,374,83,77
210,NORTH_DAKOTA TOTAL,484,399,321
211,MALE,238,189,147
212,FEMALE,246,209,174
213,WHITE,434,361,289
214,BLACK,5,2,1
215,HISPANIC ORIGIN,6,3,1
216,OHIO TOTAL,8499,6108,5483
217,MALE,4068,2913,2604
218,FEMALE,4431,3196,2879
219,WHITE,7330,5285,4722
220,BLACK,915,680,630
221,HISPANIC ORIGIN,212,85,74
222,OKLAHOMA TOTAL,2667,1798,1507
223,MALE,1280,867,722
224,FEMALE,1386,931,785
225,WHITE,2080,1436,1210
226,BLACK,194,142,119
227,HISPANIC ORIGIN,170,47,33
228,OREGON TOTAL,2904,1961,1818
229,MALE,1416,913,835
230,FEMALE,1488,1047,983
231,WHITE,2559,1793,1670
232,BLACK,57,37,34
233,HISPANIC ORIGIN,261,43,39
234,PENNSYLVANIA TOTAL,9449,6451,5747
235,MALE,4493,3014,2664
236,FEMALE,4956,3436,3083
237,WHITE,8319,5783,5126
238,BLACK,882,557,535
239,HISPANIC ORIGIN,361,189,161
240,RHODE_ISLAND TOTAL,804,568,507
241,MALE,380,258,228
242,FEMALE,424,310,279
243,WHITE,730,526,468
244,BLACK,48,29,27
245,HISPANIC ORIGIN,71,22,20
246,SOUTH_CAROLINA TOTAL,3313,2385,2100
247,MALE,1564,1052,926
248,FEMALE,1749,1333,1175
249,WHITE,2413,1713,1466
250,BLACK,854,650,615
251,HISPANIC ORIGIN,111,21,18
252,SOUTH_DAKOTA TOTAL,590,442,390
253,MALE,291,207,178
254,FEMALE,299,235,212
255,WHITE,541,421,372
256,BLACK,6,2,2
257,HISPANIC ORIGIN,11,3,3
258,TENNESSEE TOTAL,4692,2921,2516
259,MALE,2220,1295,1119
260,FEMALE,2472,1626,1397
261,WHITE,3849,2434,2067
262,BLACK,697,426,405
263,HISPANIC ORIGIN,178,37,34
264,TEXAS TOTAL,17295,10123,8435
265,MALE,8434,4693,3862
266,FEMALE,8861,5430,4573
267,WHITE,14432,8423,6978
268,BLACK,1933,1356,1194
269,HISPANIC ORIGIN,6241,2441,1697
270,UTAH TOTAL,1859,1056,939
271,MALE,938,495,431
272,FEMALE,921,561,509
273,WHITE,1761,1017,909
274,BLACK,26,12,12
275,HISPANIC ORIGIN,138,24,21
276,VERMONT TOTAL,487,345,308
277,MALE,238,164,146
278,FEMALE,249,181,162
279,WHITE,471,335,300
280,BLACK,4,3,3
281,HISPANIC ORIGIN,5,2,2
282,VIRGINIA TOTAL,5720,3950,3650
283,MALE,2725,1789,1641
284,FEMALE,2995,2162,2010
285,WHITE,4288,3008,2778
286,BLACK,1031,727,686
287,HISPANIC ORIGIN,330,74,74
288,WASHINGTON TOTAL,4912,3299,3073
289,MALE,2418,1553,1439
290,FEMALE,2495,1745,1634
291,WHITE,4146,2932,2762
292,BLACK,157,57,57
293,HISPANIC ORIGIN,404,160,148
294,WEST_VIRGINIA TOTAL,1395,917,741
295,MALE,673,438,350
296,FEMALE,722,479,392
297,WHITE,1345,890,720
298,BLACK,39,21,19
299,HISPANIC ORIGIN,9,5,5
300,WISCONSIN TOTAL,4212,3095,2887
301,MALE,2084,1501,1403
302,FEMALE,2128,1594,1484
303,WHITE,3881,2881,2682
304,BLACK,199,145,145
305,HISPANIC ORIGIN,247,77,66
306,WYOMING TOTAL,397,270,250
307,MALE,199,127,118
308,FEMALE,198,142,132
309,WHITE,377,261,242
310,BLACK,5,1,1
311,HISPANIC ORIGIN,18,8,7
