,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
0,US TOTAL,252274,168308,154628
1,MALE,121870,79340,72474
2,FEMALE,130404,88968,82154
3,WHITE,195227,134889,124301
4,BLACK,32219,20844,18922
5,HISPANIC ORIGIN,42468,18719,16459
6,ALABAMA TOTAL,3769,2527,2247
7,MALE,1780,1187,1038
8,FEMALE,1990,1340,1209
9,WHITE,2657,1860,1647
10,BLACK,973,590,533
11,HISPANIC ORIGIN,79,35,30
12,ALASKA TOTAL,528,383,330
13,MALE,269,195,165
14,FEMALE,259,188,165
15,WHITE,345,265,243
16,BLACK,17,11,8
17,HISPANIC ORIGIN,28,21,17
18,ARIZONA TOTAL,5638,3878,3649
19,MALE,2739,1784,1653
20,FEMALE,2899,2095,1996
21,WHITE,4840,3328,3152
22,BLACK,279,205,179
23,HISPANIC ORIGIN,1800,895,814
24,ARKANSAS TOTAL,2283,1361,1186
25,MALE,1101,641,546
26,FEMALE,1182,720,640
27,WHITE,1867,1139,1014
28,BLACK,336,186,146
29,HISPANIC ORIGIN,134,30,29
30,CALIFORNIA TOTAL,30342,18001,16893
31,MALE,14786,8549,8012
32,FEMALE,15556,9452,8882
33,WHITE,21941,13508,12628
34,BLACK,1947,1249,1173
35,HISPANIC ORIGIN,11165,5014,4539
36,COLORADO TOTAL,4525,2993,2837
37,MALE,2254,1452,1355
38,FEMALE,2271,1541,1482
39,WHITE,4001,2733,2606
40,BLACK,186,102,96
41,HISPANIC ORIGIN,854,374,315
42,CONNECTICUT TOTAL,2777,1850,1681
43,MALE,1333,843,767
44,FEMALE,1444,1008,915
45,WHITE,2197,1543,1392
46,BLACK,323,192,184
47,HISPANIC ORIGIN,461,235,196
48,DELAWARE TOTAL,766,542,489
49,MALE,361,247,223
50,FEMALE,404,296,266
51,WHITE,540,392,348
52,BLACK,172,114,106
53,HISPANIC ORIGIN,57,22,20
54,DISTRICT OF COLUMBIA TOTAL,576,464,448
55,MALE,264,209,200
56,FEMALE,312,255,248
57,WHITE,278,229,223
58,BLACK,251,202,193
59,HISPANIC ORIGIN,50,26,26
60,FLORIDA TOTAL,17244,10495,9720
61,MALE,8263,4965,4563
62,FEMALE,8982,5530,5157
63,WHITE,13675,8468,7887
64,BLACK,2652,1533,1375
65,HISPANIC ORIGIN,4439,1992,1789
66,GEORGIA TOTAL,8032,5233,4888
67,MALE,3765,2354,2180
68,FEMALE,4267,2880,2707
69,WHITE,4785,3297,3079
70,BLACK,2569,1721,1608
71,HISPANIC ORIGIN,739,192,178
72,HAWAII TOTAL,1056,673,630
73,MALE,509,333,313
74,FEMALE,546,340,317
75,WHITE,261,184,175
76,BLACK,18,15,11
77,HISPANIC ORIGIN,71,35,30
78,IDAHO TOTAL,1370,900,843
79,MALE,679,434,410
80,FEMALE,691,466,433
81,WHITE,1279,857,806
82,BLACK,10,5,4
83,HISPANIC ORIGIN,166,63,55
84,ILLINOIS TOTAL,9658,6590,6058
85,MALE,4671,3098,2876
86,FEMALE,4987,3492,3182
87,WHITE,7551,5303,4849
88,BLACK,1335,861,811
89,HISPANIC ORIGIN,1421,532,475
90,INDIANA TOTAL,5096,3412,3002
91,MALE,2463,1632,1408
92,FEMALE,2633,1781,1594
93,WHITE,4318,2967,2601
94,BLACK,473,306,281
95,HISPANIC ORIGIN,225,72,60
96,IOWA TOTAL,2361,1742,1618
97,MALE,1167,853,785
98,FEMALE,1194,888,833
99,WHITE,2160,1630,1521
100,BLACK,95,55,40
101,HISPANIC ORIGIN,108,42,40
102,KANSAS TOTAL,2157,1398,1297
103,MALE,1057,667,621
104,FEMALE,1101,731,676
105,WHITE,1867,1263,1181
106,BLACK,106,69,59
107,HISPANIC ORIGIN,317,108,96
108,KENTUCKY TOTAL,3384,2450,2210
109,MALE,1616,1159,1057
110,FEMALE,1768,1291,1153
111,WHITE,2994,2194,1997
112,BLACK,259,167,140
113,HISPANIC ORIGIN,163,30,26
114,LOUISIANA TOTAL,3438,2286,2041
115,MALE,1618,1073,959
116,FEMALE,1820,1214,1082
117,WHITE,2212,1486,1362
118,BLACK,1068,720,607
119,HISPANIC ORIGIN,210,84,72
120,MAINE TOTAL,1087,832,766
121,MALE,523,383,351
122,FEMALE,564,449,415
123,WHITE,1036,803,739
124,BLACK,13,4,4
125,HISPANIC ORIGIN,11,7,7
126,MARYLAND TOTAL,4606,3383,3166
127,MALE,2199,1517,1430
128,FEMALE,2407,1865,1737
129,WHITE,2757,2069,1917
130,BLACK,1421,1022,971
131,HISPANIC ORIGIN,323,150,145
132,MASSACHUSETTS TOTAL,5514,3546,3249
133,MALE,2642,1656,1505
134,FEMALE,2872,1891,1744
135,WHITE,4429,3174,2936
136,BLACK,489,165,142
137,HISPANIC ORIGIN,636,271,227
138,MICHIGAN TOTAL,7790,5513,4994
139,MALE,3795,2648,2378
140,FEMALE,3995,2865,2616
141,WHITE,6269,4568,4144
142,BLACK,1021,713,628
143,HISPANIC ORIGIN,406,178,165
144,MINNESOTA TOTAL,4339,3436,3225
145,MALE,2149,1690,1575
146,FEMALE,2190,1746,1649
147,WHITE,3744,3086,2918
148,BLACK,260,139,130
149,HISPANIC ORIGIN,209,116,98
150,MISSISSIPPI TOTAL,2212,1749,1531
151,MALE,1029,792,680
152,FEMALE,1182,957,850
153,WHITE,1350,1054,921
154,BLACK,792,654,573
155,HISPANIC ORIGIN,67,34,23
156,MISSOURI TOTAL,4637,3388,2990
157,MALE,2205,1556,1361
158,FEMALE,2432,1832,1629
159,WHITE,3871,2935,2576
160,BLACK,518,373,351
161,HISPANIC ORIGIN,232,127,95
162,MONTANA TOTAL,836,641,607
163,MALE,415,322,299
164,FEMALE,422,318,309
165,WHITE,772,597,572
166,BLACK,4,2,2
167,HISPANIC ORIGIN,20,15,14
168,NEBRASKA TOTAL,1435,971,892
169,MALE,708,464,421
170,FEMALE,728,507,471
171,WHITE,1301,903,826
172,BLACK,80,45,44
173,HISPANIC ORIGIN,98,28,27
174,NEVADA TOTAL,2402,1455,1351
175,MALE,1192,698,649
176,FEMALE,1210,757,702
177,WHITE,1691,1072,1013
178,BLACK,233,155,136
179,HISPANIC ORIGIN,654,268,239
180,NEW HAMPSHIRE TOTAL,1101,843,797
181,MALE,542,401,375
182,FEMALE,559,442,423
183,WHITE,1030,813,771
184,BLACK,20,4,4
185,HISPANIC ORIGIN,38,19,14
186,NEW JERSEY TOTAL,6801,5008,4638
187,MALE,3281,2366,2193
188,FEMALE,3520,2642,2445
189,WHITE,4900,3826,3543
190,BLACK,994,658,606
191,HISPANIC ORIGIN,1347,817,719
192,NEW MEXICO TOTAL,1610,1028,938
193,MALE,784,495,450
194,FEMALE,826,533,488
195,WHITE,1340,881,812
196,BLACK,34,24,21
197,HISPANIC ORIGIN,636,323,290
198,NEW YORK TOTAL,15105,9370,8609
199,MALE,7164,4309,3936
200,FEMALE,7941,5061,4673
201,WHITE,10551,6933,6443
202,BLACK,2554,1598,1459
203,HISPANIC ORIGIN,2330,991,883
204,NORTH CAROLINA TOTAL,8113,5161,4780
205,MALE,3854,2377,2185
206,FEMALE,4259,2783,2595
207,WHITE,5775,3638,3379
208,BLACK,1752,1166,1083
209,HISPANIC ORIGIN,989,267,240
210,NORTH DAKOTA TOTAL,571,429,373
211,MALE,289,217,188
212,FEMALE,282,212,185
213,WHITE,503,393,352
214,BLACK,13,2,2
215,HISPANIC ORIGIN,16,6,5
216,OHIO TOTAL,8951,6733,6128
217,MALE,4311,3219,2913
218,FEMALE,4640,3514,3216
219,WHITE,7416,5724,5223
220,BLACK,1069,758,678
221,HISPANIC ORIGIN,383,226,175
222,OKLAHOMA TOTAL,2942,1884,1631
223,MALE,1434,856,741
224,FEMALE,1508,1028,890
225,WHITE,2289,1537,1347
226,BLACK,231,123,108
227,HISPANIC ORIGIN,348,106,75
228,OREGON TOTAL,3369,2590,2402
229,MALE,1645,1245,1144
230,FEMALE,1724,1345,1258
231,WHITE,2955,2345,2191
232,BLACK,82,47,39
233,HISPANIC ORIGIN,281,122,105
234,PENNSYLVANIA TOTAL,9902,7337,6756
235,MALE,4787,3489,3192
236,FEMALE,5115,3848,3564
237,WHITE,8485,6390,5875
238,BLACK,1042,751,694
239,HISPANIC ORIGIN,618,305,270
240,RHODE ISLAND TOTAL,840,575,515
241,MALE,402,273,246
242,FEMALE,438,302,269
243,WHITE,742,519,462
244,BLACK,61,39,37
245,HISPANIC ORIGIN,88,38,36
246,SOUTH CAROLINA TOTAL,4010,2713,2459
247,MALE,1887,1266,1158
248,FEMALE,2123,1447,1302
249,WHITE,2840,2013,1845
250,BLACK,1032,613,546
251,HISPANIC ORIGIN,257,77,62
252,SOUTH DAKOTA TOTAL,659,437,380
253,MALE,330,217,189
254,FEMALE,329,221,191
255,WHITE,587,401,351
256,BLACK,18,5,4
257,HISPANIC ORIGIN,13,6,5
258,TENNESSEE TOTAL,5283,3742,3346
259,MALE,2544,1766,1563
260,FEMALE,2738,1976,1783
261,WHITE,4212,2992,2677
262,BLACK,866,658,592
263,HISPANIC ORIGIN,329,72,63
264,TEXAS TOTAL,21485,13343,11874
265,MALE,10513,6338,5580
266,FEMALE,10972,7005,6295
267,WHITE,17042,10734,9612
268,BLACK,2700,1759,1521
269,HISPANIC ORIGIN,7730,3538,2972
270,UTAH TOTAL,2320,1468,1386
271,MALE,1146,699,647
272,FEMALE,1174,769,739
273,WHITE,2096,1368,1293
274,BLACK,40,9,9
275,HISPANIC ORIGIN,253,100,89
276,VERMONT TOTAL,507,365,342
277,MALE,250,178,163
278,FEMALE,257,187,178
279,WHITE,477,354,332
280,BLACK,8,1,1
281,HISPANIC ORIGIN,6,4,4
282,VIRGINIA TOTAL,6481,4541,4275
283,MALE,3084,2092,1981
284,FEMALE,3396,2449,2293
285,WHITE,4526,3393,3204
286,BLACK,1237,764,722
287,HISPANIC ORIGIN,678,271,218
288,WASHINGTON TOTAL,5993,4029,3854
289,MALE,2947,1921,1806
290,FEMALE,3046,2109,2047
291,WHITE,4735,3452,3309
292,BLACK,257,136,130
293,HISPANIC ORIGIN,680,296,261
294,WEST VIRGINIA TOTAL,1397,928,773
295,MALE,684,457,379
296,FEMALE,714,471,395
297,WHITE,1324,879,735
298,BLACK,45,26,18
299,HISPANIC ORIGIN,23,10,8
300,WISCONSIN TOTAL,4538,3391,3253
301,MALE,2223,1616,1533
302,FEMALE,2315,1775,1720
303,WHITE,4005,3119,3008
