,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010
0,US TOTAL,229690,137263,95987
1,MALE,111098,64337,45392
2,FEMALE,118592,72926,50595
3,WHITE,185804,114482,80554
4,BLACK,27396,16101,11149
5,HISPANIC ORIGIN,32457,10982,6646
6,ALABAMA TOTAL,3526,2224,1509
7,MALE,1652,989,664
8,FEMALE,1873,1235,845
9,WHITE,2611,1612,1097
10,BLACK,868,599,403
11,HISPANIC ORIGIN,142,34,14
12,ALASKA TOTAL,498,317,242
13,MALE,252,161,127
14,FEMALE,246,156,115
15,WHITE,385,262,209
16,BLACK,24,13,7
17,HISPANIC ORIGIN,23,10,7
18,ARIZONA TOTAL,4831,2934,2170
19,MALE,2391,1419,1075
20,FEMALE,2439,1516,1095
21,WHITE,4267,2581,1936
22,BLACK,193,122,76
23,HISPANIC ORIGIN,1389,610,407
24,ARKANSAS TOTAL,2140,1256,841
25,MALE,1021,569,382
26,FEMALE,1120,687,459
27,WHITE,1740,1050,713
28,BLACK,310,168,100
29,HISPANIC ORIGIN,83,14,10
30,CALIFORNIA TOTAL,27381,13864,10725
31,MALE,13470,6705,5160
32,FEMALE,13910,7160,5565
33,WHITE,20828,11016,8666
34,BLACK,1728,932,708
35,HISPANIC ORIGIN,9004,3025,2058
36,COLORADO TOTAL,3768,2299,1826
37,MALE,1865,1104,871
38,FEMALE,1903,1196,955
39,WHITE,3423,2142,1714
40,BLACK,148,82,60
41,HISPANIC ORIGIN,629,214,144
42,CONNECTICUT TOTAL,2648,1641,1215
43,MALE,1274,767,577
44,FEMALE,1374,874,638
45,WHITE,2273,1473,1096
46,BLACK,247,132,93
47,HISPANIC ORIGIN,243,111,56
48,DELAWARE TOTAL,667,418,323
49,MALE,318,190,147
50,FEMALE,349,228,177
51,WHITE,513,330,252
52,BLACK,134,79,64
53,HISPANIC ORIGIN,40,9,6
54,DISTRICT OF COLUMBIA TOTAL,489,295,200
55,MALE,223,127,84
56,FEMALE,266,168,116
57,WHITE,220,134,86
58,BLACK,244,146,103
59,HISPANIC ORIGIN,45,12,8
60,FLORIDA TOTAL,14227,7994,5572
61,MALE,6872,3735,2623
62,FEMALE,7355,4259,2949
63,WHITE,11665,6731,4740
64,BLACK,2046,1073,725
65,HISPANIC ORIGIN,2962,1239,863
66,GEORGIA TOTAL,7119,4076,2865
67,MALE,3404,1929,1338
68,FEMALE,3715,2147,1527
69,WHITE,4734,2717,1881
70,BLACK,2066,1260,929
71,HISPANIC ORIGIN,519,77,46
72,HAWAII TOTAL,965,466,385
73,MALE,471,226,182
74,FEMALE,494,240,203
75,WHITE,191,99,84
76,BLACK,28,10,10
77,HISPANIC ORIGIN,85,39,27
78,IDAHO TOTAL,1114,666,498
79,MALE,546,325,235
80,FEMALE,568,341,263
81,WHITE,1051,645,483
82,BLACK,8,4,4
83,HISPANIC ORIGIN,100,17,9
84,ILLINOIS TOTAL,9619,5823,3994
85,MALE,4661,2670,1872
86,FEMALE,4958,3152,2122
87,WHITE,7799,4794,3225
88,BLACK,1312,844,658
89,HISPANIC ORIGIN,1220,388,241
90,INDIANA TOTAL,4777,2838,1826
91,MALE,2317,1315,892
92,FEMALE,2459,1523,934
93,WHITE,4300,2544,1646
94,BLACK,371,254,158
95,HISPANIC ORIGIN,195,33,19
96,IOWA TOTAL,2278,1547,1143
97,MALE,1114,729,544
98,FEMALE,1164,818,599
99,WHITE,2161,1494,1106
100,BLACK,57,29,17
101,HISPANIC ORIGIN,96,15,10
102,KANSAS TOTAL,2059,1349,931
103,MALE,1022,658,457
104,FEMALE,1038,691,474
105,WHITE,1831,1245,863
106,BLACK,113,52,34
107,HISPANIC ORIGIN,125,45,20
108,KENTUCKY TOTAL,3250,2113,1479
109,MALE,1552,956,704
110,FEMALE,1698,1157,775
111,WHITE,2995,1974,1383
112,BLACK,203,118,76
113,HISPANIC ORIGIN,109,8,2
114,LOUISIANA TOTAL,3314,2425,1618
115,MALE,1555,1111,766
116,FEMALE,1759,1314,852
117,WHITE,2218,1624,1101
118,BLACK,981,743,480
119,HISPANIC ORIGIN,104,42,16
120,MAINE TOTAL,1034,779,604
121,MALE,499,363,284
122,FEMALE,535,416,320
123,WHITE,1004,765,596
124,BLACK,13,5,2
125,HISPANIC ORIGIN,6,4,2
126,MARYLAND TOTAL,4279,2509,1802
127,MALE,2039,1156,823
128,FEMALE,2240,1353,979
129,WHITE,2760,1711,1233
130,BLACK,1217,685,505
131,HISPANIC ORIGIN,337,90,55
