,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010
132,MASSACHUSETTS TOTAL,5097,3230,2452
133,MALE,2436,1486,1168
134,FEMALE,2661,1743,1284
135,WHITE,4516,3037,2304
136,BLACK,319,109,93
137,HISPANIC ORIGIN,430,134,48
138,MICHIGAN TOTAL,7513,5127,3394
139,MALE,3606,2393,1606
140,FEMALE,3907,2734,1787
141,WHITE,6141,4376,2873
142,BLACK,997,598,407
143,HISPANIC ORIGIN,229,107,68
144,MINNESOTA TOTAL,3982,2756,2104
145,MALE,1965,1341,1016
146,FEMALE,2017,1415,1088
147,WHITE,3680,2639,2024
148,BLACK,140,62,45
149,HISPANIC ORIGIN,138,43,30
150,MISSISSIPPI TOTAL,2113,1532,983
151,MALE,1000,674,425
152,FEMALE,1113,857,558
153,WHITE,1324,970,623
154,BLACK,721,534,351
155,HISPANIC ORIGIN,17,5,3
156,MISSOURI TOTAL,4506,3013,2004
157,MALE,2164,1414,941
158,FEMALE,2342,1598,1063
159,WHITE,3900,2622,1755
160,BLACK,484,338,224
161,HISPANIC ORIGIN,140,37,24
162,MONTANA TOTAL,753,491,386
163,MALE,371,250,196
164,FEMALE,381,241,191
165,WHITE,678,452,359
166,BLACK,5,2,2
167,HISPANIC ORIGIN,22,13,9
168,NEBRASKA TOTAL,1323,804,511
169,MALE,643,372,244
170,FEMALE,680,432,268
171,WHITE,1216,769,493
172,BLACK,45,13,5
173,HISPANIC ORIGIN,101,25,12
174,NEVADA TOTAL,1957,996,731
175,MALE,989,477,360
176,FEMALE,968,519,371
177,WHITE,1534,819,608
178,BLACK,148,69,48
179,HISPANIC ORIGIN,399,103,68
180,NEW HAMPSHIRE TOTAL,1024,666,470
181,MALE,498,327,234
182,FEMALE,526,339,236
183,WHITE,976,647,456
184,BLACK,12,5,4
185,HISPANIC ORIGIN,12,5,3
186,NEW JERSEY TOTAL,6581,3656,2383
187,MALE,3169,1712,1090
188,FEMALE,3412,1944,1293
189,WHITE,5115,2921,1890
190,BLACK,889,555,390
191,HISPANIC ORIGIN,1136,284,177
192,NEW MEXICO TOTAL,1489,746,579
193,MALE,725,336,271
194,FEMALE,764,409,308
195,WHITE,1215,638,499
196,BLACK,44,4,
197,HISPANIC ORIGIN,610,249,183
198,NEW YORK TOTAL,14974,8395,5746
199,MALE,7136,3883,2699
200,FEMALE,7837,4512,3046
201,WHITE,11336,6797,4721
202,BLACK,2478,1306,892
203,HISPANIC ORIGIN,2389,830,516
204,NORTH CAROLINA TOTAL,6998,4455,3009
205,MALE,3320,2045,1378
206,FEMALE,3678,2410,1631
207,WHITE,5164,3344,2279
208,BLACK,1438,871,582
209,HISPANIC ORIGIN,469,105,80
210,NORTH DAKOTA TOTAL,488,361,266
211,MALE,243,177,132
212,FEMALE,245,184,134
213,WHITE,433,324,240
214,BLACK,4,2,
215,HISPANIC ORIGIN,3,2,
216,OHIO TOTAL,8642,5601,3824
217,MALE,4135,2664,1866
218,FEMALE,4506,2936,1958
219,WHITE,7474,4910,3382
220,BLACK,930,606,389
221,HISPANIC ORIGIN,187,64,38
222,OKLAHOMA TOTAL,2695,1603,1061
223,MALE,1295,756,489
224,FEMALE,1400,847,572
225,WHITE,2015,1234,833
226,BLACK,195,111,71
227,HISPANIC ORIGIN,159,38,19
228,OREGON TOTAL,2974,2005,1594
229,MALE,1455,962,781
230,FEMALE,1520,1043,813
231,WHITE,2725,1861,1493
232,BLACK,63,39,25
233,HISPANIC ORIGIN,189,50,35
234,PENNSYLVANIA TOTAL,9631,6031,4104
235,MALE,4581,2812,1956
236,FEMALE,5050,3220,2148
237,WHITE,8435,5426,3674
238,BLACK,907,494,368
239,HISPANIC ORIGIN,390,155,79
240,RHODE ISLAND TOTAL,812,510,348
241,MALE,387,238,168
242,FEMALE,425,272,180
243,WHITE,720,477,329
244,BLACK,45,18,12
245,HISPANIC ORIGIN,84,20,10
246,SOUTH CAROLINA TOTAL,3453,2304,1700
247,MALE,1635,1054,777
248,FEMALE,1818,1250,922
249,WHITE,2455,1646,1190
250,BLACK,898,616,482
251,HISPANIC ORIGIN,112,15,4
252,SOUTH DAKOTA TOTAL,602,406,322
253,MALE,297,194,151
254,FEMALE,305,212,171
255,WHITE,554,380,304
256,BLACK,7,2,1
257,HISPANIC ORIGIN,19,6,3
258,TENNESSEE TOTAL,4745,2854,1714
259,MALE,2278,1317,789
260,FEMALE,2466,1537,925
261,WHITE,3869,2365,1433
262,BLACK,716,415,242
263,HISPANIC ORIGIN,160,37,19
264,TEXAS TOTAL,17847,9493,5600
265,MALE,8742,4438,2631
266,FEMALE,9105,5054,2969
267,WHITE,14741,7858,4631
268,BLACK,2060,1242,770
269,HISPANIC ORIGIN,6403,2334,1012
270,UTAH TOTAL,1929,1095,695
271,MALE,958,514,338
272,FEMALE,971,581,357
273,WHITE,1811,1064,676
274,BLACK,19,6,2
275,HISPANIC ORIGIN,151,21,13
276,VERMONT TOTAL,490,356,265
277,MALE,238,169,126
278,FEMALE,252,187,138
279,WHITE,473,346,259
280,BLACK,4,2,1
281,HISPANIC ORIGIN,4,1,1
282,VIRGINIA TOTAL,5873,3546,2257
283,MALE,2812,1637,1047
284,FEMALE,3061,1909,1210
285,WHITE,4266,2775,1780
286,BLACK,1104,536,370
287,HISPANIC ORIGIN,369,88,48
288,WASHINGTON TOTAL,5095,3367,2692
289,MALE,2501,1604,1289
290,FEMALE,2595,1763,1403
291,WHITE,4366,3028,2479
292,BLACK,157,60,47
293,HISPANIC ORIGIN,461,110,77
294,WEST VIRGINIA TOTAL,1420,883,581
295,MALE,686,406,266
296,FEMALE,734,477,315
297,WHITE,1360,857,561
298,BLACK,48,22,18
299,HISPANIC ORIGIN,5,2,2
300,WISCONSIN TOTAL,4291,2908,2258
301,MALE,2105,1360,1059
302,FEMALE,2185,1549,1199
303,WHITE,3956,2723,2113
304,BLACK,204,113,89
305,HISPANIC ORIGIN,181,53,38
306,WYOMING TOTAL,411,239,190
307,MALE,210,118,94
308,FEMALE,202,121,96
309,WHITE,389,230,182
310,BLACK,6,2,2
311,HISPANIC ORIGIN,31,9,6
