,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000
162,MONTANA TOTAL,658,461,409
163,MALE,329,224,198
164,FEMALE,329,237,212
165,WHITE,620,439,392
166,BLACK,,,
167,HISPANIC ORIGIN,13,9,8
168,NEBRASKA TOTAL,1205,865,710
169,MALE,579,394,331
170,FEMALE,626,471,379
171,WHITE,1133,820,675
172,BLACK,46,30,23
173,HISPANIC ORIGIN,56,20,15
174,NEVADA TOTAL,1377,720,641
175,MALE,693,349,310
176,FEMALE,683,371,331
177,WHITE,1144,625,563
178,BLACK,112,55,44
179,HISPANIC ORIGIN,220,53,45
180,NEW HAMPSHIRE TOTAL,902,628,571
181,MALE,442,301,271
182,FEMALE,461,327,300
183,WHITE,862,610,555
184,BLACK,13,10,9
185,HISPANIC ORIGIN,14,4,4
186,NEW JERSEY TOTAL,6109,3859,3374
187,MALE,2919,1820,1602
188,FEMALE,3190,2039,1772
189,WHITE,5033,3346,2926
190,BLACK,787,422,369
191,HISPANIC ORIGIN,583,212,179
192,NEW MEXICO TOTAL,1261,750,647
193,MALE,591,332,286
194,FEMALE,670,419,361
195,WHITE,1064,670,581
196,BLACK,36,18,9
197,HISPANIC ORIGIN,484,239,191
198,NEW YORK TOTAL,13725,8047,7004
199,MALE,6613,3710,3251
200,FEMALE,7112,4337,3753
201,WHITE,10602,6696,5845
202,BLACK,2181,1133,996
203,HISPANIC ORIGIN,1706,603,502
204,NORTH CAROLINA TOTAL,5629,3720,2995
205,MALE,2626,1693,1361
206,FEMALE,3003,2026,1633
207,WHITE,4143,2812,2317
208,BLACK,1315,827,626
209,HISPANIC ORIGIN,255,31,22
210,NORTH DAKOTA TOTAL,449,409,313
211,MALE,222,202,155
212,FEMALE,228,208,159
213,WHITE,425,389,303
214,BLACK,2,2,1
215,HISPANIC ORIGIN,3,2,
216,OHIO TOTAL,8301,5561,4823
217,MALE,3916,2559,2201
218,FEMALE,4385,3002,2622
219,WHITE,7250,4913,4280
220,BLACK,934,601,502
221,HISPANIC ORIGIN,106,47,43
222,OKLAHOMA TOTAL,2457,1679,1431
223,MALE,1155,761,653
224,FEMALE,1302,918,778
225,WHITE,2169,1507,1287
226,BLACK,115,66,51
227,HISPANIC ORIGIN,76,26,21
228,OREGON TOTAL,2515,1714,1529
229,MALE,1219,806,712
230,FEMALE,1296,908,817
231,WHITE,2372,1652,1477
232,BLACK,34,20,17
233,HISPANIC ORIGIN,193,48,33
234,PENNSYLVANIA TOTAL,8950,5847,4988
235,MALE,4287,2836,2373
236,FEMALE,4663,3011,2615
237,WHITE,8015,5269,4482
238,BLACK,764,524,457
239,HISPANIC ORIGIN,248,99,68
240,RHODE ISLAND TOTAL,729,508,438
241,MALE,339,230,193
242,FEMALE,390,279,245
243,WHITE,670,488,419
244,BLACK,38,14,13
245,HISPANIC ORIGIN,30,4,4
246,SOUTH CAROLINA TOTAL,2929,1993,1725
247,MALE,1355,869,752
248,FEMALE,1575,1124,973
249,WHITE,2233,1524,1310
250,BLACK,662,454,402
251,HISPANIC ORIGIN,62,7,7
252,SOUTH DAKOTA TOTAL,530,376,311
253,MALE,263,184,149
254,FEMALE,266,192,162
255,WHITE,498,357,298
256,BLACK,5,2,1
257,HISPANIC ORIGIN,4,2,1
258,TENNESSEE TOTAL,4173,2590,2183
259,MALE,2036,1239,1042
260,FEMALE,2137,1351,1142
261,WHITE,3489,2160,1836
262,BLACK,658,427,344
263,HISPANIC ORIGIN,67,11,11
264,TEXAS TOTAL,14533,8929,7005
265,MALE,7079,4189,3305
266,FEMALE,7454,4740,3700
267,WHITE,12572,7771,6042
268,BLACK,1397,971,803
269,HISPANIC ORIGIN,4414,1905,1300
270,UTAH TOTAL,1472,953,829
271,MALE,724,453,386
272,FEMALE,748,500,443
273,WHITE,1414,934,815
274,BLACK,4,4,4
275,HISPANIC ORIGIN,104,24,20
276,VERMONT TOTAL,458,330,290
277,MALE,221,152,131
278,FEMALE,238,178,159
279,WHITE,454,329,290
280,BLACK,1,,
281,HISPANIC ORIGIN,3,2,2
282,VIRGINIA TOTAL,5177,3317,2962
283,MALE,2431,1512,1344
284,FEMALE,2745,1805,1619
285,WHITE,3930,2658,2375
286,BLACK,1010,586,532
287,HISPANIC ORIGIN,234,106,90
288,WASHINGTON TOTAL,4314,2852,2527
289,MALE,2053,1361,1196
290,FEMALE,2261,1491,1331
291,WHITE,3890,2656,2400
292,BLACK,123,62,39
293,HISPANIC ORIGIN,167,71,59
294,WEST VIRGINIA TOTAL,1405,886,732
295,MALE,654,412,341
296,FEMALE,750,475,390
297,WHITE,1355,857,709
298,BLACK,45,29,22
299,HISPANIC ORIGIN,7,1,1
300,WISCONSIN TOTAL,3884,2970,2632
301,MALE,1912,1420,1266
302,FEMALE,1972,1551,1367
303,WHITE,3653,2815,2496
304,BLACK,147,105,91
305,HISPANIC ORIGIN,159,34,31
306,WYOMING TOTAL,350,240,219
307,MALE,176,118,105
308,FEMALE,175,122,114
309,WHITE,342,236,217
310,BLACK,1,1,1
311,HISPANIC ORIGIN,19,9,6
