,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000
0,UNITED STATES TOTAL,202609,129549,110826
1,MALE,97087,60356,51542
2,FEMALE,105523,69193,59284
3,WHITE,168733,110773,95098
4,BLACK,24132,15348,12917
5,HISPANIC ORIGIN,21598,7546,5934
6,ALABAMA TOTAL,3278,2411,1953
7,MALE,1507,1084,886
8,FEMALE,1771,1326,1067
9,WHITE,2391,1783,1453
10,BLACK,859,619,491
11,HISPANIC ORIGIN,27,12,10
12,ALASKA TOTAL,412,299,270
13,MALE,202,148,133
14,FEMALE,210,150,137
15,WHITE,327,245,227
16,BLACK,13,7,7
17,HISPANIC ORIGIN,12,6,5
18,ARIZONA TOTAL,3524,1879,1644
19,MALE,1734,885,773
20,FEMALE,1789,994,871
21,WHITE,3205,1773,1560
22,BLACK,114,53,36
23,HISPANIC ORIGIN,910,304,247
24,ARKANSAS TOTAL,1893,1125,936
25,MALE,897,513,423
26,FEMALE,996,612,512
27,WHITE,1540,916,755
28,BLACK,331,199,173
29,HISPANIC ORIGIN,51,5,3
30,CALIFORNIA TOTAL,24749,13061,11489
31,MALE,11932,6170,5463
32,FEMALE,12817,6891,6027
33,WHITE,19770,10839,9618
34,BLACK,1678,1039,873
35,HISPANIC ORIGIN,6514,1919,1597
36,COLORADO TOTAL,3049,1954,1633
37,MALE,1514,959,805
38,FEMALE,1535,995,829
39,WHITE,2838,1853,1559
40,BLACK,116,74,54
41,HISPANIC ORIGIN,478,199,158
42,CONNECTICUT TOTAL,2415,1510,1332
43,MALE,1146,682,605
44,FEMALE,1268,828,727
45,WHITE,2020,1331,1178
46,BLACK,317,161,135
47,HISPANIC ORIGIN,139,64,61
48,DELAWARE TOTAL,567,385,352
49,MALE,267,173,155
50,FEMALE,299,211,197
51,WHITE,443,313,284
52,BLACK,111,68,64
53,HISPANIC ORIGIN,20,8,8
54,DISTRICT OF COLUMBIA TOTAL,407,295,267
55,MALE,191,130,114
56,FEMALE,216,165,153
57,WHITE,140,102,92
58,BLACK,258,190,172
59,HISPANIC ORIGIN,26,7,6
60,FLORIDA TOTAL,11633,7043,6006
61,MALE,5533,3228,2740
62,FEMALE,6100,3816,3266
63,WHITE,9886,6176,5320
64,BLACK,1467,773,620
65,HISPANIC ORIGIN,2162,802,678
66,GEORGIA TOTAL,5775,3528,2827
67,MALE,2697,1609,1270
68,FEMALE,3078,1919,1557
69,WHITE,3743,2221,1810
70,BLACK,1956,1296,1010
71,HISPANIC ORIGIN,169,26,26
72,HAWAII TOTAL,855,402,340
73,MALE,413,183,154
74,FEMALE,442,219,186
75,WHITE,216,121,106
76,BLACK,16,7,2
77,HISPANIC ORIGIN,29,13,10
78,IDAHO TOTAL,927,569,500
79,MALE,447,265,232
80,FEMALE,480,304,268
81,WHITE,896,561,496
82,BLACK,4,,
83,HISPANIC ORIGIN,58,10,7
84,ILLINOIS TOTAL,8859,5911,5030
85,MALE,4207,2726,2310
86,FEMALE,4652,3185,2720
87,WHITE,7174,4810,4043
88,BLACK,1342,998,897
89,HISPANIC ORIGIN,771,262,218
90,INDIANA TOTAL,4380,3000,2564
91,MALE,2157,1424,1217
92,FEMALE,2223,1576,1347
93,WHITE,4037,2807,2389
94,BLACK,286,168,148
95,HISPANIC ORIGIN,79,29,21
96,IOWA TOTAL,2110,1524,1353
97,MALE,1049,733,650
98,FEMALE,1061,790,703
99,WHITE,2009,1482,1320
100,BLACK,81,42,34
101,HISPANIC ORIGIN,89,22,19
102,KANSAS TOTAL,1908,1293,1148
103,MALE,927,600,528
104,FEMALE,981,693,620
105,WHITE,1757,1206,1073
106,BLACK,103,72,63
107,HISPANIC ORIGIN,50,8,7
108,KENTUCKY TOTAL,2996,2087,1645
109,MALE,1398,963,760
110,FEMALE,1597,1125,886
111,WHITE,2738,1930,1515
112,BLACK,230,141,121
113,HISPANIC ORIGIN,71,19,17
114,LOUISIANA TOTAL,3143,2369,2030
115,MALE,1434,1049,903
116,FEMALE,1709,1320,1127
117,WHITE,2194,1700,1456
118,BLACK,892,656,564
119,HISPANIC ORIGIN,61,38,22
120,MAINE TOTAL,979,786,677
121,MALE,465,374,315
122,FEMALE,514,412,362
123,WHITE,966,779,670
124,BLACK,6,4,4
125,HISPANIC ORIGIN,4,4,3
126,MARYLAND TOTAL,3812,2499,2178
127,MALE,1838,1129,970
128,FEMALE,1974,1371,1208
129,WHITE,2549,1673,1444
130,BLACK,1165,784,698
131,HISPANIC ORIGIN,131,30,30
132,MASSACHUSETTS TOTAL,4614,3244,2772
133,MALE,2212,1519,1296
134,FEMALE,2403,1725,1476
135,WHITE,4189,3047,2590
136,BLACK,311,173,158
137,HISPANIC ORIGIN,251,103,51
138,MICHIGAN TOTAL,7231,4996,4343
139,MALE,3517,2387,2057
140,FEMALE,3713,2609,2287
141,WHITE,6156,4325,3767
142,BLACK,891,621,534
143,HISPANIC ORIGIN,156,51,40
144,MINNESOTA TOTAL,3506,2688,2376
145,MALE,1721,1257,1119
146,FEMALE,1785,1431,1257
147,WHITE,3296,2592,2305
148,BLACK,95,54,41
149,HISPANIC ORIGIN,50,9,9
150,MISSISSIPPI TOTAL,2029,1465,1213
151,MALE,943,655,535
152,FEMALE,1086,809,678
153,WHITE,1394,1006,854
154,BLACK,611,450,357
155,HISPANIC ORIGIN,25,13,4
156,MISSOURI TOTAL,4066,3023,2659
157,MALE,1902,1386,1217
158,FEMALE,2165,1637,1442
159,WHITE,3526,2649,2324
160,BLACK,449,340,305
161,HISPANIC ORIGIN,38,13,13
