,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014
0,UNITED STATES TOTAL,239874,142166,92251
1,MALE,115637,66147,43009
2,FEMALE,124237,76019,49243
3,WHITE,189331,115998,76366
4,BLACK,29668,17700,11078
5,HISPANIC ORIGIN,36802,12862,6775
6,ALABAMA TOTAL,3656,2366,1497
7,MALE,1734,1063,677
8,FEMALE,1922,1303,820
9,WHITE,2586,1700,1045
10,BLACK,922,596,414
11,HISPANIC ORIGIN,136,17,3
12,ALASKA TOTAL,521,336,255
13,MALE,264,168,128
14,FEMALE,257,168,127
15,WHITE,340,234,188
16,BLACK,18,9,6
17,HISPANIC ORIGIN,28,12,8
18,ARIZONA TOTAL,4994,2738,1785
19,MALE,2423,1309,823
20,FEMALE,2571,1430,961
21,WHITE,4226,2386,1583
22,BLACK,215,120,66
23,HISPANIC ORIGIN,1580,687,364
24,ARKANSAS TOTAL,2189,1292,798
25,MALE,1058,592,364
26,FEMALE,1131,700,434
27,WHITE,1763,1076,661
28,BLACK,307,184,116
29,HISPANIC ORIGIN,136,20,14
30,CALIFORNIA TOTAL,29030,14113,8949
31,MALE,14156,6622,4240
32,FEMALE,14874,7491,4708
33,WHITE,21429,10753,7093
34,BLACK,1846,1043,535
35,HISPANIC ORIGIN,10023,3294,1707
36,COLORADO TOTAL,4009,2654,2211
37,MALE,1979,1288,1059
38,FEMALE,2030,1366,1152
39,WHITE,3637,2453,2085
40,BLACK,147,75,56
41,HISPANIC ORIGIN,701,321,218
42,CONNECTICUT TOTAL,2783,1668,1195
43,MALE,1333,765,588
44,FEMALE,1450,903,607
45,WHITE,2344,1475,1065
46,BLACK,291,121,83
47,HISPANIC ORIGIN,319,116,68
48,DELAWARE TOTAL,712,442,299
49,MALE,337,206,139
50,FEMALE,375,236,160
51,WHITE,510,336,229
52,BLACK,147,91,59
53,HISPANIC ORIGIN,56,14,5
54,DISTRICT OF COLUMBIA TOTAL,538,353,247
55,MALE,249,165,118
56,FEMALE,289,188,129
57,WHITE,251,176,123
58,BLACK,248,164,114
59,HISPANIC ORIGIN,53,19,13
60,FLORIDA TOTAL,15414,8691,6220
61,MALE,7335,4008,2840
62,FEMALE,8079,4683,3380
63,WHITE,12507,7010,5071
64,BLACK,2331,1358,929
65,HISPANIC ORIGIN,3530,1493,892
66,GEORGIA TOTAL,7306,4306,2919
67,MALE,3458,1959,1297
68,FEMALE,3848,2347,1622
69,WHITE,4569,2764,1866
70,BLACK,2199,1339,925
71,HISPANIC ORIGIN,508,99,62
72,HAWAII TOTAL,1035,490,399
73,MALE,502,243,197
74,FEMALE,533,247,202
75,WHITE,228,117,95
76,BLACK,19,8,7
77,HISPANIC ORIGIN,64,31,21
78,IDAHO TOTAL,1182,671,462
79,MALE,585,312,213
80,FEMALE,597,359,248
81,WHITE,1110,648,452
82,BLACK,10,1,
83,HISPANIC ORIGIN,153,23,17
84,ILLINOIS TOTAL,9757,5716,3734
85,MALE,4714,2574,1730
86,FEMALE,5042,3142,2004
87,WHITE,7648,4673,3070
88,BLACK,1348,768,535
89,HISPANIC ORIGIN,1316,410,218
90,INDIANA TOTAL,4913,3048,1646
91,MALE,2357,1426,795
92,FEMALE,2556,1622,850
93,WHITE,4365,2788,1498
94,BLACK,395,226,143
95,HISPANIC ORIGIN,314,78,35
96,IOWA TOTAL,2336,1584,1203
97,MALE,1154,755,569
98,FEMALE,1182,829,634
99,WHITE,2171,1515,1154
100,BLACK,69,31,20
101,HISPANIC ORIGIN,81,21,11
102,KANSAS TOTAL,2125,1353,962
103,MALE,1037,635,453
104,FEMALE,1088,718,509
105,WHITE,1853,1220,873
106,BLACK,129,73,53
107,HISPANIC ORIGIN,216,70,44
108,KENTUCKY TOTAL,3323,2298,1525
109,MALE,1597,1091,754
110,FEMALE,1725,1207,770
111,WHITE,2943,2059,1367
112,BLACK,271,184,117
