,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014
113,HISPANIC ORIGIN,113,34,23
114,LOUISIANA TOTAL,3450,2398,1677
115,MALE,1645,1108,768
116,FEMALE,1805,1290,908
117,WHITE,2250,1596,1094
118,BLACK,1042,729,533
119,HISPANIC ORIGIN,165,57,31
120,MAINE TOTAL,1061,799,642
121,MALE,512,373,302
122,FEMALE,549,426,340
123,WHITE,1009,771,616
124,BLACK,9,5,3
125,HISPANIC ORIGIN,10,4,3
126,MARYLAND TOTAL,4542,2995,2028
127,MALE,2135,1378,938
128,FEMALE,2407,1617,1090
129,WHITE,2752,1941,1345
130,BLACK,1325,856,581
131,HISPANIC ORIGIN,332,120,58
132,MASSACHUSETTS TOTAL,5279,3250,2259
133,MALE,2504,1485,1036
134,FEMALE,2775,1765,1223
135,WHITE,4441,2980,2117
136,BLACK,408,141,80
137,HISPANIC ORIGIN,462,155,53
138,MICHIGAN TOTAL,7576,5159,3416
139,MALE,3615,2397,1551
140,FEMALE,3961,2762,1864
141,WHITE,6164,4280,2875
142,BLACK,979,685,438
143,HISPANIC ORIGIN,395,179,82
144,MINNESOTA TOTAL,4104,2822,2047
145,MALE,2007,1346,974
146,FEMALE,2097,1476,1073
147,WHITE,3670,2667,1958
148,BLACK,196,83,34
149,HISPANIC ORIGIN,183,48,34
150,MISSISSIPPI TOTAL,2182,1628,907
151,MALE,1028,740,413
152,FEMALE,1154,888,493
153,WHITE,1352,964,536
154,BLACK,769,639,357
155,HISPANIC ORIGIN,60,17,13
156,MISSOURI TOTAL,4505,3194,1713
157,MALE,2172,1514,863
158,FEMALE,2333,1680,850
159,WHITE,3861,2788,1497
160,BLACK,485,325,177
161,HISPANIC ORIGIN,88,28,15
162,MONTANA TOTAL,788,506,391
163,MALE,392,250,191
164,FEMALE,396,257,201
165,WHITE,728,483,380
166,BLACK,3,3,
167,HISPANIC ORIGIN,16,11,8
168,NEBRASKA TOTAL,1400,873,579
169,MALE,688,415,286
170,FEMALE,712,459,293
171,WHITE,1295,826,552
172,BLACK,55,36,21
173,HISPANIC ORIGIN,135,26,13
174,NEVADA TOTAL,2128,1088,693
175,MALE,1055,524,348
176,FEMALE,1073,564,345
177,WHITE,1571,846,573
178,BLACK,193,124,61
179,HISPANIC ORIGIN,527,189,97
180,NEW HAMPSHIRE TOTAL,1047,694,509
181,MALE,512,331,246
182,FEMALE,535,363,263
183,WHITE,996,669,490
184,BLACK,15,7,4
185,HISPANIC ORIGIN,23,15,10
186,NEW JERSEY TOTAL,6820,3919,2151
187,MALE,3277,1808,969
188,FEMALE,3543,2112,1182
189,WHITE,5146,3161,1771
190,BLACK,953,496,276
191,HISPANIC ORIGIN,1229,497,274
192,NEW MEXICO TOTAL,1536,919,646
193,MALE,739,433,304
194,FEMALE,797,486,342
195,WHITE,1234,753,546
196,BLACK,40,28,8
197,HISPANIC ORIGIN,601,302,179
198,NEW YORK TOTAL,15274,8078,4680
199,MALE,7294,3679,2131
200,FEMALE,7980,4399,2548
201,WHITE,11147,6185,3683
202,BLACK,2581,1385,762
203,HISPANIC ORIGIN,2394,995,502
204,NORTH CAROLINA TOTAL,7412,4779,3170
205,MALE,3510,2178,1428
206,FEMALE,3902,2601,1742
207,WHITE,5415,3545,2325
208,BLACK,1572,1040,735
209,HISPANIC ORIGIN,602,107,53
210,NORTH DAKOTA TOTAL,567,363,279
211,MALE,290,180,136
212,FEMALE,276,183,143
213,WHITE,516,345,266
214,BLACK,10,2,2
215,HISPANIC ORIGIN,19,5,2
216,OHIO TOTAL,8772,5657,3378
217,MALE,4197,2640,1616
218,FEMALE,4575,3018,1762
219,WHITE,7404,4869,2898
220,BLACK,1024,680,403
221,HISPANIC ORIGIN,192,93,36
222,OKLAHOMA TOTAL,2851,1644,920
223,MALE,1394,753,418
224,FEMALE,1457,890,502
225,WHITE,2262,1343,751
226,BLACK,192,96,56
227,HISPANIC ORIGIN,267,84,28
228,OREGON TOTAL,3078,2008,1594
229,MALE,1512,950,741
230,FEMALE,1566,1058,852
231,WHITE,2768,1861,1510
232,BLACK,56,29,14
233,HISPANIC ORIGIN,322,106,62
234,PENNSYLVANIA TOTAL,9924,6121,3803
235,MALE,4779,2845,1768
236,FEMALE,5145,3276,2035
237,WHITE,8451,5452,3375
238,BLACK,1001,492,341
239,HISPANIC ORIGIN,689,260,119
240,RHODE ISLAND TOTAL,819,486,331
241,MALE,387,231,154
242,FEMALE,432,255,177
243,WHITE,717,451,311
244,BLACK,55,28,16
245,HISPANIC ORIGIN,75,22,13
246,SOUTH CAROLINA TOTAL,3667,2458,1514
247,MALE,1730,1132,699
248,FEMALE,1937,1325,815
249,WHITE,2622,1778,1075
250,BLACK,965,640,419
251,HISPANIC ORIGIN,171,48,14
252,SOUTH DAKOTA TOTAL,625,401,273
253,MALE,308,189,132
254,FEMALE,317,212,141
255,WHITE,562,369,259
256,BLACK,12,5,3
257,HISPANIC ORIGIN,12,3,
258,TENNESSEE TOTAL,4975,3088,1763
259,MALE,2366,1376,793
260,FEMALE,2609,1712,970
261,WHITE,4014,2545,1481
262,BLACK,793,473,244
263,HISPANIC ORIGIN,202,42,13
264,TEXAS TOTAL,19354,9946,5836
265,MALE,9412,4606,2600
266,FEMALE,9941,5340,3236
267,WHITE,15676,8124,4820
268,BLACK,2327,1334,777
269,HISPANIC ORIGIN,6762,2255,1092
270,UTAH TOTAL,2026,1101,703
271,MALE,1011,539,339
272,FEMALE,1016,562,364
273,WHITE,1919,1064,678
274,BLACK,26,6,6
275,HISPANIC ORIGIN,222,56,28
276,VERMONT TOTAL,493,324,205
277,MALE,240,152,93
278,FEMALE,253,172,112
279,WHITE,475,318,202
280,BLACK,4,2,
281,HISPANIC ORIGIN,4,2,2
282,VIRGINIA TOTAL,6221,3924,2453
283,MALE,2975,1892,1200
284,FEMALE,3246,2032,1253
285,WHITE,4480,2939,1924
286,BLACK,1188,712,394
287,HISPANIC ORIGIN,389,112,60
288,WASHINGTON TOTAL,5333,3281,2390
289,MALE,2616,1543,1125
290,FEMALE,2717,1739,1265
291,WHITE,4238,2819,2088
292,BLACK,195,74,53
293,HISPANIC ORIGIN,635,169,95
294,WEST VIRGINIA TOTAL,1449,896,484
295,MALE,705,431,236
296,FEMALE,744,465,248
297,WHITE,1376,863,473
298,BLACK,41,17,5
299,HISPANIC ORIGIN,18,11,3
300,WISCONSIN TOTAL,4356,3005,2343
301,MALE,2136,1433,1140
302,FEMALE,2220,1572,1203
303,WHITE,3933,2791,2213
304,BLACK,230,129,93
305,HISPANIC ORIGIN,248,77,53
306,WYOMING TOTAL,441,241,172
307,MALE,223,117,85
308,FEMALE,217,124,87
309,WHITE,407,227,164
310,BLACK,11,5,3
311,HISPANIC ORIGIN,29,9,6
