,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016
170,FEMALE,711,529,474
171,WHITE,1253,927,837
172,BLACK,56,41,30
173,HISPANIC ORIGIN,109,47,37
174,NEVADA TOTAL,2234,1371,1195
175,MALE,1098,663,570
176,FEMALE,1136,708,625
177,WHITE,1730,1076,948
178,BLACK,182,122,110
179,HISPANIC ORIGIN,517,234,196
180,NEW HAMPSHIRE TOTAL,1044,763,698
181,MALE,509,359,327
182,FEMALE,535,404,371
183,WHITE,990,740,677
184,BLACK,11,5,5
185,HISPANIC ORIGIN,19,9,7
186,NEW JERSEY TOTAL,6862,4165,3665
187,MALE,3282,1911,1668
188,FEMALE,3580,2255,1997
189,WHITE,5237,3349,2961
190,BLACK,964,550,469
191,HISPANIC ORIGIN,1379,486,395
192,NEW MEXICO TOTAL,1547,916,765
193,MALE,749,416,342
194,FEMALE,798,500,423
195,WHITE,1183,722,620
196,BLACK,42,26,22
197,HISPANIC ORIGIN,705,340,276
198,NEW YORK TOTAL,15506,9142,7869
199,MALE,7389,4225,3592
200,FEMALE,8116,4917,4277
201,WHITE,11101,6997,6049
202,BLACK,2610,1570,1350
203,HISPANIC ORIGIN,2346,1044,878
204,NORTH CAROLINA TOTAL,7631,5194,4700
205,MALE,3596,2414,2181
206,FEMALE,4034,2780,2519
207,WHITE,5480,3776,3412
208,BLACK,1625,1191,1094
209,HISPANIC ORIGIN,804,208,186
210,NORTH DAKOTA TOTAL,583,424,362
211,MALE,298,216,182
212,FEMALE,285,208,180
213,WHITE,520,403,348
214,BLACK,15,4,3
215,HISPANIC ORIGIN,9,5,4
216,OHIO TOTAL,8811,6128,5408
217,MALE,4219,2837,2472
218,FEMALE,4593,3291,2936
219,WHITE,7340,5235,4642
220,BLACK,1031,722,637
221,HISPANIC ORIGIN,277,119,100
222,OKLAHOMA TOTAL,2923,1861,1555
223,MALE,1417,890,735
224,FEMALE,1507,971,820
225,WHITE,2289,1470,1263
226,BLACK,198,139,102
227,HISPANIC ORIGIN,280,68,50
228,OREGON TOTAL,3185,2147,1942
229,MALE,1567,1052,952
230,FEMALE,1618,1095,990
231,WHITE,2808,1961,1790
232,BLACK,57,28,23
233,HISPANIC ORIGIN,371,142,122
234,PENNSYLVANIA TOTAL,9980,6909,6008
235,MALE,4808,3199,2793
236,FEMALE,5172,3709,3215
237,WHITE,8435,5916,5153
238,BLACK,1071,751,637
239,HISPANIC ORIGIN,544,279,229
240,RHODE ISLAND TOTAL,836,538,464
241,MALE,404,253,213
242,FEMALE,432,285,251
243,WHITE,699,467,403
244,BLACK,63,42,34
245,HISPANIC ORIGIN,132,67,57
246,SOUTH CAROLINA TOTAL,3733,2575,2233
247,MALE,1774,1145,992
248,FEMALE,1959,1430,1241
249,WHITE,2621,1760,1529
250,BLACK,975,720,628
251,HISPANIC ORIGIN,175,39,31
252,SOUTH DAKOTA TOTAL,631,437,362
253,MALE,314,213,171
254,FEMALE,318,224,191
255,WHITE,560,406,340
256,BLACK,11,4,3
257,HISPANIC ORIGIN,21,8,7
258,TENNESSEE TOTAL,5057,3251,2630
259,MALE,2418,1505,1218
260,FEMALE,2639,1746,1412
261,WHITE,4014,2640,2176
262,BLACK,814,519,402
263,HISPANIC ORIGIN,221,40,27
264,TEXAS TOTAL,20172,11724,9626
265,MALE,9775,5479,4465
266,FEMALE,10397,6245,5162
267,WHITE,16095,9306,7700
268,BLACK,2458,1724,1349
269,HISPANIC ORIGIN,6923,2654,1938
270,UTAH TOTAL,2096,1398,1234
271,MALE,1043,700,613
272,FEMALE,1053,698,621
273,WHITE,1955,1339,1181
274,BLACK,20,8,7
275,HISPANIC ORIGIN,245,94,86
276,VERMONT TOTAL,500,351,305
277,MALE,246,166,144
278,FEMALE,254,185,161
279,WHITE,468,339,293
280,BLACK,5,2,1
281,HISPANIC ORIGIN,5,3,3
282,VIRGINIA TOTAL,6343,4399,3973
283,MALE,3026,2023,1806
284,FEMALE,3317,2376,2168
285,WHITE,4459,3218,2891
286,BLACK,1189,817,738
287,HISPANIC ORIGIN,606,240,219
288,WASHINGTON TOTAL,5592,3906,3382
289,MALE,2765,1852,1525
290,FEMALE,2827,2055,1857
291,WHITE,4628,3403,3027
292,BLACK,201,116,78
293,HISPANIC ORIGIN,656,292,219
294,WEST VIRGINIA TOTAL,1434,913,723
295,MALE,695,428,335
296,FEMALE,739,485,388
297,WHITE,1350,865,682
298,BLACK,48,27,24
299,HISPANIC ORIGIN,13,4,3
300,WISCONSIN TOTAL,4465,3323,3068
301,MALE,2193,1584,1468
302,FEMALE,2272,1739,1600
303,WHITE,4079,3130,2897
304,BLACK,205,101,92
305,HISPANIC ORIGIN,329,136,111
306,WYOMING TOTAL,436,304,277
307,MALE,223,154,139
308,FEMALE,213,150,138
309,WHITE,405,284,260
310,BLACK,5,4,3
311,HISPANIC ORIGIN,32,15,12
