,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016
0,US TOTAL,245502,157596,137537
1,MALE,118488,73761,63801
2,FEMALE,127013,83835,73735
3,WHITE,192129,127463,111891
4,BLACK,30608,19984,17119
5,HISPANIC ORIGIN,38990,15267,12682
6,ALABAMA TOTAL,3717,2526,2095
7,MALE,1761,1155,944
8,FEMALE,1955,1371,1151
9,WHITE,2633,1772,1465
10,BLACK,962,694,579
11,HISPANIC ORIGIN,117,32,27
12,ALASKA TOTAL,518,358,308
13,MALE,267,181,152
14,FEMALE,251,177,156
15,WHITE,346,261,234
16,BLACK,17,10,8
17,HISPANIC ORIGIN,24,17,17
18,ARIZONA TOTAL,5196,3145,2769
19,MALE,2525,1485,1273
20,FEMALE,2671,1660,1496
21,WHITE,4471,2773,2480
22,BLACK,252,165,121
23,HISPANIC ORIGIN,1613,654,543
24,ARKANSAS TOTAL,2216,1456,1241
25,MALE,1055,679,574
26,FEMALE,1161,777,667
27,WHITE,1822,1196,1032
28,BLACK,321,231,186
29,HISPANIC ORIGIN,135,29,24
30,CALIFORNIA TOTAL,29894,16096,14416
31,MALE,14604,7663,6833
32,FEMALE,15289,8433,7583
33,WHITE,21592,12084,10908
34,BLACK,1849,1018,856
35,HISPANIC ORIGIN,10221,3882,3345
36,COLORADO TOTAL,4242,2893,2707
37,MALE,2102,1401,1297
38,FEMALE,2140,1492,1410
39,WHITE,3743,2663,2494
40,BLACK,185,124,124
41,HISPANIC ORIGIN,633,272,237
42,CONNECTICUT TOTAL,2759,1763,1586
43,MALE,1321,798,718
44,FEMALE,1438,965,868
45,WHITE,2258,1538,1378
46,BLACK,297,157,142
47,HISPANIC ORIGIN,417,151,131
48,DELAWARE TOTAL,729,487,417
49,MALE,342,216,183
50,FEMALE,387,271,234
51,WHITE,527,372,319
52,BLACK,148,96,82
53,HISPANIC ORIGIN,66,19,14
54,DISTRICT OF COLUMBIA TOTAL,553,420,380
55,MALE,255,190,168
56,FEMALE,299,229,212
57,WHITE,264,209,194
58,BLACK,250,184,162
59,HISPANIC ORIGIN,42,20,18
60,FLORIDA TOTAL,16202,9604,8578
61,MALE,7736,4377,3920
62,FEMALE,8466,5226,4658
63,WHITE,13097,8141,7277
64,BLACK,2434,1149,1051
65,HISPANIC ORIGIN,4010,1779,1552
66,GEORGIA TOTAL,7626,4892,4246
67,MALE,3623,2237,1908
68,FEMALE,4003,2655,2338
69,WHITE,4798,3179,2786
70,BLACK,2325,1552,1346
71,HISPANIC ORIGIN,680,168,161
72,HAWAII TOTAL,1064,530,460
73,MALE,519,249,215
74,FEMALE,545,281,245
75,WHITE,225,144,129
76,BLACK,24,16,15
77,HISPANIC ORIGIN,78,43,36
78,IDAHO TOTAL,1224,790,714
79,MALE,607,386,346
80,FEMALE,618,404,368
81,WHITE,1151,757,687
82,BLACK,6,3,2
83,HISPANIC ORIGIN,163,55,49
84,ILLINOIS TOTAL,9723,6665,5719
85,MALE,4692,3174,2673
86,FEMALE,5031,3490,3046
87,WHITE,7647,5391,4636
88,BLACK,1358,932,776
89,HISPANIC ORIGIN,1490,634,527
90,INDIANA TOTAL,4988,3298,2795
91,MALE,2426,1595,1343
92,FEMALE,2562,1704,1452
93,WHITE,4309,2895,2467
94,BLACK,473,284,228
95,HISPANIC ORIGIN,224,69,63
96,IOWA TOTAL,2394,1657,1454
97,MALE,1172,780,673
98,FEMALE,1221,877,781
99,WHITE,2201,1587,1393
100,BLACK,73,39,34
101,HISPANIC ORIGIN,97,29,23
102,KANSAS TOTAL,2142,1438,1243
103,MALE,1048,671,570
104,FEMALE,1094,767,673
105,WHITE,1883,1307,1149
106,BLACK,121,75,54
107,HISPANIC ORIGIN,217,76,68
108,KENTUCKY TOTAL,3348,2253,1850
109,MALE,1614,1035,861
110,FEMALE,1734,1218,989
111,WHITE,3014,2038,1669
112,BLACK,250,187,159
113,HISPANIC ORIGIN,138,44,38
114,LOUISIANA TOTAL,3463,2446,2067
115,MALE,1650,1119,925
116,FEMALE,1813,1327,1142
117,WHITE,2251,1631,1368
118,BLACK,1062,755,646
119,HISPANIC ORIGIN,174,99,82
120,MAINE TOTAL,1058,830,754
121,MALE,510,388,347
122,FEMALE,548,442,408
123,WHITE,1001,793,720
124,BLACK,13,9,7
125,HISPANIC ORIGIN,20,7,7
126,MARYLAND TOTAL,4623,3114,2737
127,MALE,2203,1454,1253
128,FEMALE,2420,1659,1484
129,WHITE,2784,1975,1727
130,BLACK,1386,954,858
131,HISPANIC ORIGIN,450,170,148
132,MASSACHUSETTS TOTAL,5374,3660,3315
133,MALE,2585,1767,1599
134,FEMALE,2788,1893,1715
135,WHITE,4464,3229,2919
136,BLACK,438,266,242
137,HISPANIC ORIGIN,500,199,177
138,MICHIGAN TOTAL,7624,5434,4713
139,MALE,3650,2540,2150
140,FEMALE,3974,2893,2563
141,WHITE,6264,4579,3984
142,BLACK,1039,708,623
143,HISPANIC ORIGIN,288,101,74
144,MINNESOTA TOTAL,4190,3055,2738
145,MALE,2063,1457,1312
146,FEMALE,2127,1598,1426
147,WHITE,3614,2723,2457
148,BLACK,193,126,112
149,HISPANIC ORIGIN,255,54,50
150,MISSISSIPPI TOTAL,2203,1725,1470
151,MALE,1026,780,657
152,FEMALE,1177,945,813
153,WHITE,1377,1070,918
154,BLACK,782,632,537
155,HISPANIC ORIGIN,41,18,15
156,MISSOURI TOTAL,4626,3333,2906
157,MALE,2231,1534,1328
158,FEMALE,2395,1799,1577
159,WHITE,3957,2886,2529
160,BLACK,491,385,325
161,HISPANIC ORIGIN,160,59,50
162,MONTANA TOTAL,798,581,521
163,MALE,399,287,256
164,FEMALE,399,294,265
165,WHITE,738,542,492
166,BLACK,5,2,2
167,HISPANIC ORIGIN,20,12,11
168,NEBRASKA TOTAL,1407,1008,893
169,MALE,696,480,419
