year,IOWA BLACK/Predictions
1994,15
1996,20
1998,1068
2000,34
2002,16
2004,23
2006,14
2008,42
2010,17
2012,33
2014,20
2016,34
2018,41
2020,40
2022,-43
2024,-62
2026,-81
2028,-100
2030,-120
