year,NEVADA HISPANIC ORIGIN/Predictions
1994,23
1996,22
1998,25
2000,45
2002,42
2004,72
2006,50
2008,119
2010,68
2012,157
2014,97
2016,196
2018,156
2020,239
2022,206
2024,220
2026,235
2028,250
2030,265
