year,INDIANA FEMALE/Predictions
1994,839
1996,1236
1998,940
2000,1347
2002,974
2004,1351
2006,1028
2008,1468
2010,934
2012,1470
2014,850
2016,1452
2018,1249
2020,1594
2022,1405
2024,1433
2026,1461
2028,1489
2030,1517
