year,NEW HAMPSHIRE WHITE/Predictions
1994,344
1996,512
1998,2
2000,555
2002,474
2004,663
2006,463
2008,691
2010,456
2012,670
2014,490
2016,677
2018,556
2020,771
2022,724
2024,751
2026,778
2028,805
2030,832
