year,FLORIDA TOTAL/Predictions
1994,4601
1996,5516
1998,4403
2000,6006
2002,5334
2004,7372
2006,5343
2008,7951
2010,5572
2012,8107
2014,6220
2016,8578
2018,7918
2020,9720
2022,8976
2024,9290
2026,9605
2028,9919
2030,10234
