year,ILLINOIS HISPANIC ORIGIN/Predictions
1994,125
1996,127
1998,650
2000,218
2002,171
2004,294
2006,185
2008,314
2010,241
2012,295
2014,218
2016,527
2018,354
2020,475
2022,407
2024,421
2026,435
2028,450
2030,464
