year,ALASKA BLACK/Predictions
1994,4
1996,5
1998,186
2000,7
2002,3
2004,8
2006,6
2008,7
2010,7
2012,6
2014,6
2016,8
2018,8
2020,8
2022,-5
2024,-9
2026,-12
2028,-15
2030,-18
