year,MAINE TOTAL/Predictions
1994,530
1996,626
1998,450
2000,677
2002,594
2004,736
2006,595
2008,716
2010,604
2012,700
2014,642
2016,754
2018,693
2020,766
2022,756
2024,771
2026,785
2028,799
2030,814
