year,TENNESSEE MALE/Predictions
1994,842
1996,1032
1998,708
2000,1042
2002,911
2004,1075
2006,927
2008,1119
2010,789
2012,1172
2014,793
2016,1218
2018,1174
2020,1563
2022,1263
2024,1295
2026,1327
2028,1358
2030,1390
