year,IDAHO MALE/Predictions
1994,198
1996,241
1998,189
2000,232
2002,202
2004,273
2006,249
2008,313
2010,235
2012,323
2014,213
2016,346
2018,286
2020,410
2022,348
2024,360
2026,371
2028,382
2030,393
