year,WEST VIRGINIA FEMALE/Predictions
1994,240
1996,393
1998,274
2000,390
2002,257
2004,431
2006,268
2008,392
2010,315
2012,358
2014,248
2016,388
2018,316
2020,395
2022,357
2024,360
2026,364
2028,367
2030,370
