year,UTAH TOTAL/Predictions
1994,544
1996,707
1998,562
2000,829
2002,631
2004,1022
2006,603
2008,939
2010,695
2012,1022
2014,703
2016,1234
2018,1214
2020,1386
2022,1242
2024,1293
2026,1343
2028,1394
2030,1444
