year,FLORIDA WHITE/Predictions
1994,4160
1996,4901
1998,439
2000,5320
2002,4672
2004,6349
2006,4592
2008,6806
2010,4740
2012,6712
2014,5071
2016,7277
2018,6579
2020,7887
2022,7606
2024,7902
2026,8197
2028,8492
2030,8787
