year,PENNSYLVANIA BLACK/Predictions
1994,421
1996,453
1998,3203
2000,457
2002,339
2004,474
2006,305
2008,535
2010,368
2012,614
2014,341
2016,637
2018,562
2020,694
2022,377
2024,337
2026,298
2028,259
2030,219
