year,WASHINGTON TOTAL/Predictions
1994,1826
1996,2436
1998,1905
2000,2527
2002,2097
2004,2851
2006,2346
2008,3073
2010,2692
2012,3172
2014,2390
2016,3382
2018,3234
2020,3854
2022,3574
2024,3690
2026,3807
2028,3924
2030,4041
