year,VIRGINIA BLACK/Predictions
1994,334
1996,548
1998,1219
2000,532
2002,288
2004,477
2006,355
2008,686
2010,370
2012,715
2014,394
2016,738
2018,637
2020,722
2022,619
2024,626
2026,632
2028,638
2030,645
