year,GEORGIA BLACK/Predictions
1994,415
1996,717
1998,1385
2000,1010
2002,683
2004,919
2006,722
2008,1309
2010,929
2012,1340
2014,925
2016,1346
2018,1374
2020,1608
2022,1472
2024,1528
2026,1585
2028,1641
2030,1698
