year,SOUTH CAROLINA BLACK/Predictions
1994,341
1996,338
1998,1004
2000,402
2002,347
2004,498
2006,419
2008,615
2010,482
2012,631
2014,419
2016,628
2018,519
2020,546
2022,562
2024,568
2026,575
2028,581
2030,588
