year,MARYLAND HISPANIC ORIGIN/Predictions
1994,12
1996,61
1998,470
2000,30
2002,27
2004,53
2006,71
2008,91
2010,55
2012,103
2014,58
2016,148
2018,158
2020,145
2022,114
2024,115
2026,116
2028,117
2030,118
