year,SOUTH DAKOTA HISPANIC ORIGIN/Predictions
1994,1
1996,1
1998,0
2000,1
2002,2
2004,4
2006,4
2008,3
2010,3
2012,3
2014,0
2016,7
2018,4
2020,5
2022,5
2024,5
2026,5
2028,5
2030,6
