year,WYOMING FEMALE/Predictions
1994,110
1996,120
1998,95
2000,114
2002,106
2004,126
2006,105
2008,132
2010,96
2012,129
2014,87
2016,138
2018,113
2020,147
2022,126
2024,127
2026,129
2028,130
2030,132
