year,ARIZONA TOTAL/Predictions
1994,1245
1996,1489
1998,1135
2000,1644
2002,1397
2004,2239
2006,1777
2008,2497
2010,2170
2012,2412
2014,1785
2016,2769
2018,2800
2020,3649
2022,3175
2024,3322
2026,3469
2028,3617
2030,3764
