year,MINNESOTA MALE/Predictions
1994,925
1996,1062
1998,1098
2000,1119
2002,1181
2004,1374
2006,1173
2008,1295
2010,1016
2012,1374
2014,974
2016,1312
2018,1194
2020,1575
2022,1369
2024,1393
2026,1416
2028,1440
2030,1464
