year,KENTUCKY FEMALE/Predictions
1994,457
1996,848
1998,659
2000,886
2002,674
2004,1046
2006,765
2008,1060
2010,775
2012,1052
2014,770
2016,989
2018,958
2020,1153
2022,1090
2024,1121
2026,1151
2028,1181
2030,1212
