year,MONTANA FEMALE/Predictions
1994,200
1996,228
1998,180
2000,212
2002,188
2004,252
2006,214
2008,246
2010,191
2012,258
2014,201
2016,265
2018,271
2020,309
2022,275
2024,281
2026,287
2028,293
2030,299
