year,NEW YORK HISPANIC ORIGIN/Predictions
1994,303
1996,513
1998,720
2000,502
2002,370
2004,613
2006,390
2008,743
2010,516
2012,835
2014,502
2016,878
2018,731
2020,883
2022,833
2024,863
2026,894
2028,924
2030,954
