year,ALASKA FEMALE/Predictions
1994,122
1996,128
1998,114
2000,137
2002,118
2004,148
2006,129
2008,152
2010,115
2012,149
2014,127
2016,156
2018,130
2020,165
2022,150
2024,153
2026,155
2028,157
2030,159
