year,TEXAS MALE/Predictions
1994,2325
1996,2929
1998,2150
2000,3305
2002,2485
2004,3684
2006,2569
2008,3862
2010,2631
2012,3925
2014,2600
2016,4465
2018,4064
2020,5580
2022,4580
2024,4747
2026,4914
2028,5081
2030,5248
