year,MICHIGAN HISPANIC ORIGIN/Predictions
1994,38
1996,65
1998,496
2000,40
2002,56
2004,71
2006,99
2008,70
2010,68
2012,158
2014,82
2016,74
2018,81
2020,165
2022,91
2024,89
2026,86
2028,83
2030,81
