year,KANSAS WHITE/Predictions
1994,879
1996,1051
1998,8
2000,1073
2002,879
2004,1101
2006,855
2008,1105
2010,863
2012,1148
2014,873
2016,1149
2018,1028
2020,1181
2022,1163
2024,1193
2026,1222
2028,1252
2030,1281
