year,WEST VIRGINIA WHITE/Predictions
1994,460
1996,706
1998,1
2000,709
2002,495
2004,765
2006,494
2008,720
2010,561
2012,665
2014,473
2016,682
2018,585
2020,735
2022,693
2024,709
2026,725
2028,740
2030,756
