year,MASSACHUSETTS FEMALE/Predictions
1994,1260
1996,1422
1998,1065
2000,1476
2002,1293
2004,1656
2006,1324
2008,1586
2010,1284
2012,1807
2014,1223
2016,1715
2018,1451
2020,1744
2022,1654
2024,1682
2026,1709
2028,1736
2030,1763
