year,IOWA MALE/Predictions
1994,502
1996,623
1998,510
2000,650
2002,494
2004,708
2006,545
2008,699
2010,544
2012,733
2014,569
2016,673
2018,660
2020,785
2022,717
2024,730
2026,743
2028,755
2030,768
