year,WISCONSIN TOTAL/Predictions
1994,1808
1996,2330
1998,1905
2000,2632
2002,1999
2004,3010
2006,2352
2008,2887
2010,2258
2012,3127
2014,2343
2016,3068
2018,2776
2020,3253
2022,3147
2024,3226
2026,3306
2028,3385
2030,3464
