year,MARYLAND MALE/Predictions
1994,811
1996,974
1998,874
2000,970
2002,799
2004,1112
2006,982
2008,1153
2010,823
2012,1189
2014,938
2016,1253
2018,1107
2020,1430
2022,1259
2024,1290
2026,1320
2028,1351
2030,1382
