year,OREGON TOTAL/Predictions
1994,1415
1996,1462
1998,1163
2000,1529
2002,1359
2004,1924
2006,1601
2008,1818
2010,1594
2012,1897
2014,1594
2016,1942
2018,1918
2020,2402
2022,2135
2024,2195
2026,2255
2028,2315
2030,2375
