year,KANSAS MALE/Predictions
1994,447
1996,534
1998,360
2000,528
2002,448
2004,554
2006,418
2008,552
2010,457
2012,567
2014,453
2016,570
2018,554
2020,621
2022,575
2024,584
2026,593
2028,603
2030,612
