year,FLORIDA FEMALE/Predictions
1994,2432
1996,2985
1998,2409
2000,3266
2002,2891
2004,3997
2006,2805
2008,4274
2010,2949
2012,4379
2014,3380
2016,4658
2018,4270
2020,5157
2022,4819
2024,4987
2026,5155
2028,5323
2030,5490
