year,UTAH FEMALE/Predictions
1994,285
1996,378
1998,296
2000,443
2002,337
2004,529
2006,309
2008,509
2010,357
2012,528
2014,364
2016,621
2018,646
2020,739
2022,648
2024,674
2026,700
2028,726
2030,752
