year,RHODE ISLAND WHITE/Predictions
1994,358
1996,424
1998,2
2000,419
2002,357
2004,442
2006,401
2008,468
2010,329
2012,420
2014,311
2016,403
2018,374
2020,462
2022,430
2024,438
2026,446
2028,454
2030,462
