year,OREGON MALE/Predictions
1994,674
1996,686
1998,562
2000,712
2002,647
2004,911
2006,749
2008,835
2010,781
2012,893
2014,741
2016,952
2018,912
2020,1144
2022,1018
2024,1047
2026,1076
2028,1105
2030,1134
