year,NEVADA WHITE/Predictions
1994,395
1996,526
1998,14
2000,563
2002,529
2004,763
2006,595
2008,850
2010,608
2012,845
2014,573
2016,948
2018,818
2020,1013
2022,993
2024,1039
2026,1086
2028,1132
2030,1178
