year,HAWAII MALE/Predictions
1994,185
1996,168
1998,202
2000,154
2002,174
2004,196
2006,178
2008,223
2010,182
2012,225
2014,197
2016,215
2018,193
2020,313
2022,243
2024,249
2026,254
2028,260
2030,266
