year,DISTRICT OF COLUMBIA WHITE/Predictions
1994,85
1996,82
1998,4
2000,92
2002,76
2004,116
2006,81
2008,130
2010,86
2012,161
2014,123
2016,194
2018,168
2020,223
2022,199
2024,210
2026,221
2028,232
2030,243
