year,MONTANA TOTAL/Predictions
1994,376
1996,437
1998,349
2000,409
2002,363
2004,482
2006,435
2008,473
2010,386
2012,495
2014,391
2016,521
2018,518
2020,607
2022,540
2024,552
2026,565
2028,577
2030,590
